,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,22,1:33.740,207.842,18:50:12
44,2,Lewis Hamilton,Mercedes,51,1:33.953,207.371,19:36:17
8,3,Romain Grosjean,Haas Ferrari,47,1:34.053,207.151,19:31:58
14,4,Fernando Alonso,McLaren Renault,47,1:34.168,206.898,19:31:12
20,5,Kevin Magnussen,Haas Ferrari,29,1:34.327,206.549,19:02:17
7,6,Kimi Räikkönen,Ferrari,22,1:34.337,206.527,18:50:14
5,7,Sebastian Vettel,Ferrari,21,1:34.453,206.274,18:48:30
35,8,Sergey Sirotkin,Williams Mercedes,42,1:34.563,206.034,19:24:12
27,9,Nico Hulkenberg,Renault,50,1:34.667,205.807,19:35:54
28,10,Brendon Hartley,Scuderia Toro Rosso Honda,44,1:34.689,205.759,19:27:00
10,11,Pierre Gasly,Scuderia Toro Rosso Honda,46,1:34.863,205.382,19:29:14
31,12,Esteban Ocon,Force India Mercedes,38,1:35.043,204.993,19:17:09
16,13,Charles Leclerc,Sauber Ferrari,40,1:35.058,204.961,19:20:43
11,14,Sergio Perez,Force India Mercedes,35,1:35.075,204.924,19:12:25
9,15,Marcus Ericsson,Sauber Ferrari,26,1:35.093,204.885,18:57:32
2,16,Stoffel Vandoorne,McLaren Renault,30,1:35.131,204.803,19:04:11
18,17,Lance Stroll,Williams Mercedes,32,1:35.266,204.513,19:07:58
55,18,Carlos Sainz,Renault,35,1:35.535,203.937,19:12:18
