,Position,Driver,Car,Time / Gap,Laps
7,1,Kimi Räikkönen,Ferrari,1:29.817,32
5,2,Sebastian Vettel,Ferrari,+0.011s,37
77,3,Valtteri Bottas,Mercedes,+0.563s,31
44,4,Lewis Hamilton,Mercedes,+0.655s,32
33,5,Max Verstappen,Red Bull Racing TAG Heuer,+0.928s,32
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.934s,31
27,7,Nico Hulkenberg,Renault,+1.403s,34
10,8,Pierre Gasly,Scuderia Toro Rosso Honda,+1.415s,38
14,9,Fernando Alonso,McLaren Renault,+1.465s,29
2,10,Stoffel Vandoorne,McLaren Renault,+1.605s,35
8,11,Romain Grosjean,Haas Ferrari,+1.774s,33
55,12,Carlos Sainz,Renault,+1.784s,34
31,13,Esteban Ocon,Force India Mercedes,+1.992s,31
11,14,Sergio Perez,Force India Mercedes,+2.051s,34
20,15,Kevin Magnussen,Haas Ferrari,+2.152s,35
16,16,Charles Leclerc,Sauber Ferrari,+2.555s,37
18,17,Lance Stroll,Williams Mercedes,+2.565s,30
35,18,Sergey Sirotkin,Williams Mercedes,+2.657s,37
9,19,Marcus Ericsson,Sauber Ferrari,+2.916s,32
28,20,Brendon Hartley,Scuderia Toro Rosso Honda,+3.091s,38
