,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen,Red Bull Racing RBPT,1:30.224,1:30.346,1:29.304,13
16,2,Charles Leclerc,Ferrari,1:30.402,1:30.486,1:29.314,13
55,3,Carlos Sainz,Ferrari,1:30.336,1:30.444,1:29.361,13
11,4,Sergio Perez,Red Bull Racing RBPT,1:30.622,1:29.925,1:29.709,15
31,5,Esteban Ocon,Alpine Renault,1:30.696,1:30.357,1:30.165,18
44,6,Lewis Hamilton,Mercedes,1:30.906,1:30.443,1:30.261,20
14,7,Fernando Alonso,Alpine Renault,1:30.603,1:30.343,1:30.322,15
63,8,George Russell,Mercedes,1:30.865,1:30.465,1:30.389,19
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,1:31.256,1:30.656,1:30.554,15
4,10,Lando Norris,McLaren Mercedes,1:30.881,1:30.473,1:31.003,18
3,11,Daniel Ricciardo,McLaren Mercedes,1:30.880,1:30.659,,11
77,12,Valtteri Bottas,Alfa Romeo Ferrari,1:31.226,1:30.709,,12
22,13,Yuki Tsunoda,AlphaTauri RBPT,1:31.130,1:30.808,,15
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:30.894,1:30.953,,12
47,15,Mick Schumacher,Haas Ferrari,1:31.152,1:31.439,,12
23,16,Alexander Albon,Williams Mercedes,1:31.311,,,6
10,17,Pierre Gasly,AlphaTauri RBPT,1:31.322,,,9
20,18,Kevin Magnussen,Haas Ferrari,1:31.352,,,6
18,19,Lance Stroll,Aston Martin Aramco Mercedes,1:31.419,,,6
6,20,Nicholas Latifi,Williams Mercedes,1:31.511,,,8
