,Position,Driver,Car,Time
1,1,Max Verstappen,Red Bull Racing RBPT,1:29.304
16,2,Charles Leclerc,Ferrari,1:29.314
55,3,Carlos Sainz,Ferrari,1:29.361
11,4,Sergio Perez,Red Bull Racing RBPT,1:29.709
31,5,Esteban Ocon,Alpine Renault,1:30.165
44,6,Lewis Hamilton,Mercedes,1:30.261
14,7,Fernando Alonso,Alpine Renault,1:30.322
63,8,George Russell,Mercedes,1:30.389
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,1:30.554
4,10,Lando Norris,McLaren Mercedes,1:31.003
3,11,Daniel Ricciardo,McLaren Mercedes,1:30.659
77,12,Valtteri Bottas,Alfa Romeo Ferrari,1:30.709
22,13,Yuki Tsunoda,AlphaTauri RBPT,1:30.808
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:30.953
47,15,Mick Schumacher,Haas Ferrari,1:31.439
23,16,Alexander Albon,Williams Mercedes,1:31.311
20,17,Kevin Magnussen,Haas Ferrari,1:31.352
18,18,Lance Stroll,Aston Martin Aramco Mercedes,1:31.419
6,19,Nicholas Latifi,Williams Mercedes,1:31.511
