,Position,Driver,Car,Time
27,1,Ayrton Senna,McLaren Honda,1:36.996
1,2,Alain Prost,Ferrari,1:37.228
2,3,Nigel Mansell,Ferrari,1:37.719
28,4,Gerhard Berger,McLaren Honda,1:38.118
5,5,Thierry Boutsen,Williams Renault,1:39.324
20,6,Nelson Piquet,Benetton Ford,1:40.049
4,7,Jean Alesi,Tyrrell Ford,1:40.052
6,8,Riccardo Patrese,Williams Renault,1:40.355
19,9,Roberto Moreno,Benetton Ford,1:40.579
30,10,Aguri Suzuki,Lola Lamborghini,1:40.888
23,11,Pierluigi Martini,Minardi Ford,1:40.899
11,12,Derek Warwick,Lotus Lamborghini,1:41.024
16,13,Ivan Capelli,Leyton House Judd,1:41.033
3,14,Satoru Nakajima,Tyrrell Ford,1:41.078
12,15,Johnny Herbert,Lotus Lamborghini,1:41.558
15,16,Mauricio Gugelmin,Leyton House Judd,1:41.698
29,17,Eric Bernard,Lola Lamborghini,1:41.709
25,18,Nicola Larini,Ligier Ford,1:42.339
21,19,Emanuele Pirro,Dallara Ford,1:42.361
24,20,Gianni Morbidelli,Minardi Ford,1:42.364
26,21,Philippe Alliot,Ligier Ford,1:42.593
8,22,Stefano Modena,Brabham Judd,1:42.617
7,23,David Brabham,Brabham Judd,1:43.156
10,24,Alex Caffi,Arrows Ford,1:43.270
9,25,Michele Alboreto,Arrows Ford,1:43.304
22,26,Andrea de Cesaris,Dallara Ford,1:43.601
14,27,Olivier Grouillard,Osella Ford,1:43.782
17,28,Gabriele Tarquini,AGS Ford,1:44.281
18,29,Yannick Dalmas,AGS Ford,1:44.410
31,30,Bertrand Gachot,Coloni Ford,1:45.393
