,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,62,1:13.555,210.895,15:22:12
6,2,Nico Rosberg,Mercedes,62,1:13.619,210.711,15:22:11
27,3,Nico Hulkenberg,Force India Mercedes,70,1:13.728,210.400,15:33:06
22,4,Jenson Button,McLaren Mercedes,68,1:13.999,209.629,15:30:21
1,5,Sebastian Vettel,Red Bull Racing Renault,68,1:14.018,209.576,15:30:23
8,6,Romain Grosjean,Lotus Renault,63,1:14.070,209.428,15:25:01
19,7,Felipe Massa,Williams Mercedes,59,1:14.101,209.341,15:19:00
26,8,Daniil Kvyat,STR Renault,62,1:14.144,209.219,15:23:30
77,9,Valtteri Bottas,Williams Mercedes,64,1:14.229,208.980,15:25:58
14,10,Fernando Alonso,Ferrari,55,1:14.313,208.744,15:14:18
20,11,Kevin Magnussen,McLaren Mercedes,62,1:14.544,208.097,15:23:10
11,12,Sergio Perez,Force India Mercedes,70,1:14.550,208.080,15:33:43
25,13,Jean-Eric Vergne,STR Renault,65,1:14.774,207.457,15:27:18
13,14,Pastor Maldonado,Lotus Renault,47,1:14.810,207.357,15:04:39
99,15,Adrian Sutil,Sauber Ferrari,42,1:14.834,207.290,14:58:18
21,16,Esteban Gutierrez ,Sauber Ferrari,64,1:14.875,207.177,15:26:07
7,17,Kimi Räikkönen,Ferrari,37,1:14.963,206.934,14:51:27
3,18,Daniel Ricciardo,Red Bull Racing Renault,30,1:15.387,205.770,14:42:26
