,Position,Driver,Car,Time
1,1,Ayrton Senna,McLaren Honda,1:20.291
17,1,Nicola Larini,Osella Ford,1:23.566
28,2,Gerhard Berger,Ferrari,1:20.565
37,2,Jyrki Jarvilehto,Onyx Ford,1:23.958
2,3,Alain Prost,McLaren Honda,1:21.368
18,3,Piercarlo Ghinzani,Osella Ford,1:24.586
30,4,Philippe Alliot,Lola Lamborghini,1:24.610
23,4,Pierluigi Martini,Minardi Ford,1:21.479
40,5,Gabriele Tarquini,AGS Ford,1:24.847
36,6,Stefan Johansson,Onyx Ford,1:24.944
6,6,Riccardo Patrese,Williams Renault,1:21.777
31,7,Roberto Moreno,Coloni Ford,1:25.074
11,7,Nelson Piquet,Lotus Judd,1:21.922
7,8,Martin Brundle,Brabham Judd,1:22.133
29,8,Michele Alboreto,Lola Lamborghini,1:25.646
4,9,Jean Alesi,Tyrrell Ford,1:22.363
34,9,Bernd Schneider,Zakspeed Yamaha,1:25.673
20,10,Emanuele Pirro,Benetton Ford,1:22.567
41,10,Yannick Dalmas,AGS Ford,1:26.131
35,11,Aguri Suzuki,Zakspeed Yamaha,1:26.609
8,12,Stefano Modena,Brabham Judd,1:22.826
33,12,Oscar Larrauri,Euro Brun Judd,1:26.803
32,13,Enrico Bertaggia,Coloni Ford,1:27.236
3,13,Jonathan  Palmer,Tyrrell Ford,1:23.052
19,14,Alessandro Nannini,Benetton Ford,1:23.105
22,15,Andrea de Cesaris,Dallara Ford,1:23.186
9,16,Derek Warwick,Arrows Ford,1:23.222
12,18,Satoru Nakajima,Lotus Judd,1:23.309
16,19,Ivan Capelli,March Judd,1:23.401
24,20,Luis Perez-Sala,Minardi Ford,1:23.443
5,21,Thierry Boutsen,Williams Renault,1:23.657
10,22,Eddie  Cheever,Arrows Ford,1:23.729
21,23,Alex Caffi,Dallara Ford,1:23.763
26,24,Olivier Grouillard,Ligier Ford,1:23.931
15,26,Mauricio Gugelmin,March Judd,1:24.707
25,27,Rene Arnoux,Ligier Ford,1:25.190
39,28,Pierre Henri Raphanel,Rial Ford,1:25.443
38,29,Gregor Foitek,Rial Ford,1:29.226
