,Position,Driver,Car,Time / Gap
23,1,Pierluigi Martini,Minardi Ford,1:23.209
28,2,Gerhard Berger,Ferrari,+0.902s
1,3,Ayrton Senna,McLaren Honda,+1.189s
8,4,Stefano Modena,Brabham Judd,+1.285s
7,5,Martin Brundle,Brabham Judd,+1.372s
37,6,Jyrki Jarvilehto,Onyx Ford,+1.596s
16,7,Ivan Capelli,March Judd,+1.629s
6,8,Riccardo Patrese,Williams Renault,+1.736s
2,9,Alain Prost,McLaren Honda,+1.831s
30,10,Philippe Alliot,Lola Lamborghini,+2.073s
24,11,Luis Perez-Sala,Minardi Ford,+2.298s
4,12,Jean Alesi,Tyrrell Ford,+2.308s
26,13,Olivier Grouillard,Ligier Ford,+2.356s
15,14,Mauricio Gugelmin,March Judd,+2.431s
20,15,Emanuele Pirro,Benetton Ford,+2.441s
9,16,Derek Warwick,Arrows Ford,+2.501s
3,17,Jonathan  Palmer,Tyrrell Ford,+2.573s
5,18,Thierry Boutsen,Williams Renault,+2.628s
11,19,Nelson Piquet,Lotus Judd,+2.741s
22,20,Andrea de Cesaris,Dallara Ford,+2.770s
10,21,Eddie  Cheever,Arrows Ford,+2.781s
12,22,Satoru Nakajima,Lotus Judd,+2.782s
21,23,Alex Caffi,Dallara Ford,+3.047s
19,24,Alessandro Nannini,Benetton Ford,+3.629s
18,25,Piercarlo Ghinzani,Osella Ford,+4.074s
17,26,Nicola Larini,Osella Ford,+4.519s
39,27,Pierre Henri Raphanel,Rial Ford,+5.416s
25,28,Rene Arnoux,Ligier Ford,+5.435s
38,29,Gregor Foitek,Rial Ford,+5.700s
