,Position,Driver,Car,Time / Gap
28,1,Gerhard Berger,Ferrari,1:21.542
23,2,Pierluigi Martini,Minardi Ford,+0.085s
1,3,Ayrton Senna,McLaren Honda,+0.196s
8,4,Stefano Modena,Brabham Judd,+0.332s
7,5,Martin Brundle,Brabham Judd,+0.345s
20,6,Emanuele Pirro,Benetton Ford,+0.503s
5,7,Thierry Boutsen,Williams Renault,+0.874s
6,8,Riccardo Patrese,Williams Renault,+0.898s
17,9,Nicola Larini,Osella Ford,+0.907s
30,10,Philippe Alliot,Lola Lamborghini,+0.999s
4,11,Jean Alesi,Tyrrell Ford,+1.106s
11,12,Nelson Piquet,Lotus Judd,+1.329s
19,13,Alessandro Nannini,Benetton Ford,+1.444s
12,14,Satoru Nakajima,Lotus Judd,+1.871s
10,15,Eddie  Cheever,Arrows Ford,+1.980s
24,16,Luis Perez-Sala,Minardi Ford,+2.004s
21,17,Alex Caffi,Dallara Ford,+2.376s
3,18,Jonathan  Palmer,Tyrrell Ford,+2.723s
2,19,Alain Prost,McLaren Honda,+2.846s
9,20,Derek Warwick,Arrows Ford,+2.944s
18,21,Piercarlo Ghinzani,Osella Ford,+2.959s
26,22,Olivier Grouillard,Ligier Ford,+3.065s
37,23,Jyrki Jarvilehto,Onyx Ford,+3.139s
22,24,Andrea de Cesaris,Dallara Ford,+3.159s
25,25,Rene Arnoux,Ligier Ford,+3.711s
16,26,Ivan Capelli,March Judd,+3.774s
15,27,Mauricio Gugelmin,March Judd,+4.362s
39,28,Pierre Henri Raphanel,Rial Ford,+5.035s
