,Position,Driver,Car,Lap,Time
1,1,Ayrton Senna,McLaren Honda,55,1:25.779
6,2,Riccardo Patrese,Williams Renault,71,1:26.211
28,3,Gerhard Berger,Ferrari,53,1:26.213
30,4,Philippe Alliot,Lola Lamborghini,32,1:26.272
11,5,Nelson Piquet,Lotus Judd,70,1:26.476
10,6,Eddie  Cheever,Arrows Ford,56,1:26.650
2,7,Alain Prost,McLaren Honda,51,1:26.758
4,8,Jean Alesi,Tyrrell Ford,38,1:26.807
9,9,Derek Warwick,Arrows Ford,61,1:27.186
20,10,Emanuele Pirro,Benetton Ford,44,1:27.272
19,11,Alessandro Nannini,Benetton Ford,14,1:27.301
3,12,Jonathan  Palmer,Tyrrell Ford,57,1:27.540
7,13,Martin Brundle,Brabham Judd,41,1:27.870
22,14,Andrea de Cesaris,Dallara Ford,56,1:28.016
15,15,Mauricio Gugelmin,March Judd,43,1:28.285
24,16,Luis Perez-Sala,Minardi Ford,45,1:28.322
16,17,Ivan Capelli,March Judd,21,1:28.582
23,18,Pierluigi Martini,Minardi Ford,3,1:29.000
21,19,Alex Caffi,Dallara Ford,23,1:29.338
5,20,Thierry Boutsen,Williams Renault,39,1:29.457
26,21,Olivier Grouillard,Ligier Ford,11,1:29.611
8,22,Stefano Modena,Brabham Judd,11,1:30.142
37,23,Jyrki Jarvilehto,Onyx Ford,8,1:30.206
17,24,Nicola Larini,Osella Ford,5,1:30.578
18,25,Piercarlo Ghinzani,Osella Ford,15,1:31.570
