,Position,Driver,Car,Laps,Time,Points
1,1,Ayrton Senna,McLaren Honda,72,1:47:48.264,9
28,2,Gerhard Berger,Ferrari,72,+27.051s,6
2,3,Alain Prost,McLaren Honda,72,+53.788s,4
4,4,Jean Alesi,Tyrrell Ford,71,+1 lap,3
6,5,Riccardo Patrese,Williams Renault,71,+1 lap,2
30,6,Philippe Alliot,Lola Lamborghini,71,+1 lap,1
22,7,Andrea de Cesaris,Dallara Ford,71,+1 lap,0
11,8,Nelson Piquet,Lotus Judd,70,+2 laps,0
9,9,Derek Warwick,Arrows Ford,70,+2 laps,0
3,10,Jonathan  Palmer,Tyrrell Ford,70,+2 laps,0
10,NC,Eddie  Cheever,Arrows Ford,60,DNF,0
20,NC,Emanuele Pirro,Benetton Ford,58,DNF,0
21,NC,Alex Caffi,Dallara Ford,54,DNF,0
7,NC,Martin Brundle,Brabham Judd,50,DNF,0
15,NC,Mauricio Gugelmin,March Judd,46,DNF,0
24,NC,Luis Perez-Sala,Minardi Ford,46,DNF,0
5,NC,Thierry Boutsen,Williams Renault,39,DNF,0
26,NC,Olivier Grouillard,Ligier Ford,33,DNF,0
23,NC,Pierluigi Martini,Minardi Ford,26,DNF,0
16,NC,Ivan Capelli,March Judd,22,DNF,0
37,NC,Jyrki Jarvilehto,Onyx Ford,19,DNF,0
18,NC,Piercarlo Ghinzani,Osella Ford,16,DNF,0
19,NC,Alessandro Nannini,Benetton Ford,13,DNF,0
8,NC,Stefano Modena,Brabham Judd,10,DNF,0
17,NC,Nicola Larini,Osella Ford,5,DNF,0
