,Position,Driver,Car,Time,Laps
4,1,Ralf Schumacher,Williams BMW,1:15.529,3
3,2,Juan Pablo Montoya,Williams BMW,1:15.923,3
1,3,Michael Schumacher,Ferrari,1:16.047,3
8,4,Fernando Alonso,Renault,1:16.048,3
2,5,Rubens Barrichello,Ferrari,1:16.143,3
14,6,Mark Webber,Jaguar Cosworth,1:16.182,3
20,7,Olivier Panis,Toyota,1:16.598,3
7,8,Jarno Trulli,Renault,1:16.718,3
21,9,Cristiano da Matta,Toyota,1:16.826,3
10,10,Heinz-Harald Frentzen,Sauber Petronas,1:16.939,3
5,11,David Coulthard,McLaren Mercedes,1:17.024,3
9,12,Nick Heidfeld,Sauber Petronas,1:17.086,3
15,13,Antonio Pizzonia,Jaguar Cosworth,1:17.337,3
16,14,Jacques Villeneuve,BAR Honda,1:17.347,3
19,15,Jos Verstappen,Minardi Cosworth,1:18.014,3
11,16,Giancarlo Fisichella,Jordan Ford,1:18.036,3
17,17,Jenson Button,BAR Honda,1:18.205,3
18,18,Justin Wilson,Minardi Cosworth,1:18.560,3
12,19,Ralph Firman,Jordan Ford,1:18.692,3
6,20,Kimi Räikkönen,McLaren Mercedes,,2
