,Position,Driver,Car,Time / Gap,Laps
0,1,Damon Hill,Williams Renault,1:20.699,23
2,2,David Coulthard,Williams Renault,+0.255s,23
27,3,Jean Alesi,Ferrari,+1.305s,10
3,4,Ukyo Katayama,Tyrrell Yamaha,+1.314s,22
14,5,Rubens Barrichello,Jordan Hart,+1.414s,19
15,6,Eddie Irvine,Jordan Hart,+1.543s,23
8,7,Martin Brundle,McLaren Peugeot,+1.567s,22
6,8,Jos Verstappen,Benetton Ford,+1.595s,23
9,9,Christian Fittipaldi,Footwork Ford,+1.697s,23
30,10,Heinz-Harald Frentzen,Sauber Mercedes,+1.715s,22
7,11,Mika Hakkinen,McLaren Peugeot,+1.960s,22
28,12,Gerhard Berger,Ferrari,+1.971s,20
10,13,Gianni Morbidelli,Footwork Ford,+2.018s,17
25,14,Eric Bernard,Ligier Renault,+2.295s,23
26,15,Olivier Panis,Ligier Renault,+2.490s,23
5,16,Jyrki Jarvilehto,Benetton Ford,+2.505s,21
23,17,Pierluigi Martini,Minardi Ford,+2.540s,23
4,18,Mark Blundell,Tyrrell Yamaha,+2.781s,23
12,19,Johnny Herbert,Lotus Mugen Honda,+2.815s,17
20,20,Erik Comas,Larrousse Ford,+2.973s,23
29,21,Andrea de Cesaris,Sauber Mercedes,+3.129s,23
19,22,Yannick Dalmas,Larrousse Ford,+3.605s,23
24,23,Michele Alboreto,Minardi Ford,+3.622s,23
31,24,David Brabham,Simtek Ford,+3.690s,22
32,25,Jean-Marc Gounon,Simtek Ford,+4.287s,20
11,26,Philippe Adams,Lotus Mugen Honda,+4.881s,23
34,27,Bertrand Gachot,Pacific Ilmor,+6.223s,14
33,28,Paul Belmondo,Pacific Ilmor,+7.676s,12
