,Position,Driver,Car,Time,Laps
28,1,Gerhard Berger,Ferrari,1:20.608,19
0,2,Damon Hill,Williams Renault,1:20.766,22
2,3,David Coulthard,Williams Renault,1:21.033,20
7,4,Mika Hakkinen,McLaren Peugeot,1:21.251,16
27,5,Jean Alesi,Ferrari,1:21.517,13
3,6,Ukyo Katayama,Tyrrell Yamaha,1:21.590,14
8,7,Martin Brundle,McLaren Peugeot,1:21.656,22
14,8,Rubens Barrichello,Jordan Hart,1:21.796,23
30,9,Heinz-Harald Frentzen,Sauber Mercedes,1:21.921,13
6,10,Jos Verstappen,Benetton Ford,1:22.000,23
9,11,Christian Fittipaldi,Footwork Ford,1:22.132,22
4,12,Mark Blundell,Tyrrell Yamaha,1:22.288,23
15,13,Eddie Irvine,Jordan Hart,1:22.294,21
5,14,Jyrki Jarvilehto,Benetton Ford,1:22.369,22
26,15,Olivier Panis,Ligier Renault,1:22.672,21
10,16,Gianni Morbidelli,Footwork Ford,1:22.756,22
29,17,Andrea de Cesaris,Sauber Mercedes,1:22.885,24
23,18,Pierluigi Martini,Minardi Ford,1:23.243,21
24,19,Michele Alboreto,Minardi Ford,1:23.364,22
12,20,Johnny Herbert,Lotus Mugen Honda,1:23.408,12
25,21,Eric Bernard,Ligier Renault,1:23.699,21
20,22,Erik Comas,Larrousse Ford,1:24.192,22
19,23,Yannick Dalmas,Larrousse Ford,1:24.438,19
31,24,David Brabham,Simtek Ford,1:24.514,20
11,25,Philippe Adams,Lotus Mugen Honda,1:25.313,20
32,26,Jean-Marc Gounon,Simtek Ford,1:25.649,19
34,27,Bertrand Gachot,Pacific Ilmor,1:27.385,13
33,28,Paul Belmondo,Pacific Ilmor,1:29.000,18
