,Position,Driver,Car,Lap,Time
2,1,David Coulthard,Williams Renault,12,1:22.446
28,2,Gerhard Berger,Ferrari,3,1:22.935
0,3,Damon Hill,Williams Renault,10,1:22.997
27,4,Jean Alesi,Ferrari,3,1:23.236
3,5,Ukyo Katayama,Tyrrell Yamaha,4,1:23.419
6,6,Jos Verstappen,Benetton Ford,58,1:23.702
14,7,Rubens Barrichello,Jordan Hart,69,1:23.806
7,8,Mika Hakkinen,McLaren Peugeot,6,1:23.819
15,9,Eddie Irvine,Jordan Hart,61,1:23.930
25,10,Eric Bernard,Ligier Renault,7,1:24.069
10,11,Gianni Morbidelli,Footwork Ford,6,1:24.275
8,12,Martin Brundle,McLaren Peugeot,60,1:24.325
30,13,Heinz-Harald Frentzen,Sauber Mercedes,4,1:24.550
4,14,Mark Blundell,Tyrrell Yamaha,18,1:24.564
9,15,Christian Fittipaldi,Footwork Ford,5,1:24.716
5,16,Jyrki Jarvilehto,Benetton Ford,60,1:24.728
12,17,Johnny Herbert,Lotus Mugen Honda,3,1:24.748
26,18,Olivier Panis,Ligier Renault,42,1:24.804
29,19,Andrea de Cesaris,Sauber Mercedes,10,1:25.568
23,20,Pierluigi Martini,Minardi Ford,15,1:25.690
31,21,David Brabham,Simtek Ford,19,1:25.760
32,22,Jean-Marc Gounon,Simtek Ford,19,1:26.192
19,23,Yannick Dalmas,Larrousse Ford,58,1:26.288
24,24,Michele Alboreto,Minardi Ford,39,1:26.577
20,25,Erik Comas,Larrousse Ford,4,1:26.786
11,26,Philippe Adams,Lotus Mugen Honda,4,1:27.082
