,Position,Driver,Car,Laps,Time,Points
2,1,Lewis Hamilton,McLaren Mercedes,44,1:29:04.268,25
6,2,Mark Webber,RBR Renault,44,+1.571s,18
11,3,Robert Kubica,Renault,44,+3.493s,15
7,4,Felipe Massa,Ferrari,44,+8.264s,12
14,5,Adrian Sutil,Force India Mercedes,44,+9.094s,10
4,6,Nico Rosberg,Mercedes,44,+12.359s,8
3,7,Michael Schumacher,Mercedes,44,+15.548s,6
23,8,Kamui Kobayashi,Sauber Ferrari,44,+16.678s,4
12,9,Vitaly Petrov,Renault,44,+23.851s,2
15,10,Vitantonio Liuzzi,Force India Mercedes,44,+34.831s,1
22,11,Pedro de la Rosa,Sauber Ferrari,44,+36.019s,0
16,12,Sebastien Buemi,STR Ferrari,44,+39.895s,0
17,13,Jaime Alguersuari,STR Ferrari,44,+49.457s,0
10,14,Nico Hulkenberg,Williams Cosworth,43,+1 lap,0
5,15,Sebastian Vettel,RBR Renault,43,+1 lap,0
19,16,Heikki Kovalainen,Lotus Cosworth,43,+1 lap,0
25,17,Lucas di Grassi,Virgin Cosworth,43,+1 lap,0
24,18,Timo Glock,Virgin Cosworth,43,+1 lap,0
18,19,Jarno Trulli,Lotus Cosworth,43,+1 lap,0
20,20,Sakon Yamamoto,HRT Cosworth,42,+2 laps,0
8,NC,Fernando Alonso,Ferrari,37,DNF,0
1,NC,Jenson Button,McLaren Mercedes,15,DNF,0
21,NC,Bruno Senna,HRT Cosworth,5,DNF,0
9,NC,Rubens Barrichello,Williams Cosworth,0,DNF,0
