,Position,Driver,Car,Q1,Q2,Q3,Laps
16,1,Charles Leclerc,Ferrari,1:31.727,1:31.216,1:30.872,17
1,2,Max Verstappen,Red Bull Racing RBPT,1:31.891,1:31.990,1:31.176,14
11,3,Sergio Perez,Red Bull Racing RBPT,1:32.354,1:32.120,1:31.335,20
44,4,Lewis Hamilton,Mercedes,1:33.041,1:32.274,1:31.765,19
4,5,Lando Norris,McLaren Mercedes,1:32.672,1:32.777,1:32.032,14
63,6,George Russell,Mercedes,1:33.109,1:32.633,1:32.131,20
14,7,Fernando Alonso,Alpine Renault,1:32.819,1:32.631,1:32.552,17
22,8,Yuki Tsunoda,AlphaTauri RBPT,1:33.394,1:32.836,1:32.780,20
55,9,Carlos Sainz,Ferrari,1:32.297,1:31.081,DNF,10
20,10,Kevin Magnussen,Haas Ferrari,1:32.756,1:32.649,,9
3,11,Daniel Ricciardo,McLaren Mercedes,1:33.404,1:32.922,,12
31,12,Esteban Ocon,Alpine Renault,1:33.346,1:33.048,,12
77,13,Valtteri Bottas,Alfa Romeo Ferrari,1:33.034,1:33.052,,13
5,14,Sebastian Vettel,Aston Martin Aramco Mercedes,1:33.285,1:33.276,,15
23,15,Alexander Albon,Williams Mercedes,1:33.423,1:33.307,,11
10,16,Pierre Gasly,AlphaTauri RBPT,1:33.439,,,7
18,17,Lance Stroll,Aston Martin Aramco Mercedes,1:33.439,,,9
24,18,Guanyu Zhou,Alfa Romeo Ferrari,1:33.674,,,8
47,19,Mick Schumacher,Haas Ferrari,1:33.701,,,9
6,20,Nicholas Latifi,Williams Mercedes,1:33.794,,,6
