,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Benetton Renault,1:38.023,17
27,2,Jean Alesi,Ferrari,1:38.888,16
8,3,Mika Hakkinen,McLaren Mercedes,1:38.954,16
5,4,Damon Hill,Williams Renault,1:39.032,19
28,5,Gerhard Berger,Ferrari,1:39.040,15
6,6,David Coulthard,Williams Renault,1:39.155,21
15,7,Eddie Irvine,Jordan Peugeot,1:39.621,15
30,8,Heinz-Harald Frentzen,Sauber Ford,1:40.010,17
2,9,Johnny Herbert,Benetton Renault,1:40.349,15
14,10,Rubens Barrichello,Jordan Peugeot,1:40.381,23
26,11,Olivier Panis,Ligier Mugen Honda,1:40.838,19
4,12,Mika Salo,Tyrrell Yamaha,1:41.355,21
25,13,Aguri Suzuki,Ligier Mugen Honda,1:41.592,20
3,14,Ukyo Katayama,Tyrrell Yamaha,1:41.977,19
9,15,Gianni Morbidelli,Footwork Hart,1:42.059,16
29,16,Karl Wendlinger,Sauber Ford,1:42.912,21
23,17,Pedro Lamy,Minardi Ford,1:43.102,22
24,18,Luca Badoer,Minardi Ford,1:43.542,20
10,19,Taki Inoue,Footwork Hart,1:44.074,21
17,20,Andrea Montermini,Pacific Ilmor,1:46.097,16
21,21,Pedro Diniz,Forti Ford,1:46.654,15
22,22,Roberto Moreno,Forti Ford,1:48.267,10
16,23,Bertrand Gachot,Pacific Ilmor,1:48.289,15
7,24,Mark Blundell,McLaren Mercedes,16:42.640,1
