,Position,Driver,Car,Laps,Time,Points
3,1,Fernando Alonso,Ferrari,66,1:39:16.596,25
7,2,Kimi Räikkönen,Lotus Renault,66,+9.338s,18
4,3,Felipe Massa,Ferrari,66,+26.049s,15
1,4,Sebastian Vettel,Red Bull Racing Renault,66,+38.273s,12
2,5,Mark Webber,Red Bull Racing Renault,66,+47.963s,10
9,6,Nico Rosberg,Mercedes,66,+68.020s,8
14,7,Paul di Resta,Force India Mercedes,66,+68.988s,6
5,8,Jenson Button,McLaren Mercedes,66,+79.506s,4
6,9,Sergio Perez,McLaren Mercedes,66,+81.738s,2
19,10,Daniel Ricciardo,STR Ferrari,65,+1 lap,1
12,11,Esteban Gutierrez ,Sauber Ferrari,65,+1 lap,0
10,12,Lewis Hamilton,Mercedes,65,+1 lap,0
15,13,Adrian Sutil,Force India Mercedes,65,+1 lap,0
16,14,Pastor Maldonado,Williams Renault,65,+1 lap,0
11,15,Nico Hulkenberg,Sauber Ferrari,65,+1 lap,0
17,16,Valtteri Bottas,Williams Renault,65,+1 lap,0
20,17,Charles Pic,Caterham Renault,65,+1 lap,0
22,18,Jules Bianchi,Marussia Cosworth,64,+2 laps,0
23,19,Max Chilton,Marussia Cosworth,64,+2 laps,0
18,NC,Jean-Eric Vergne,STR Ferrari,52,DNF,0
21,NC,Giedo van der Garde,Caterham Renault,21,DNF,0
8,NC,Romain Grosjean,Lotus Renault,8,DNF,0
