,Position,Driver,Car,Q1,Q2,Q3,Laps
9,1,Nico Rosberg,Mercedes,1:21.913,1:21.776,1:20.718,12
10,2,Lewis Hamilton,Mercedes,1:21.728,1:21.001,1:20.972,12
1,3,Sebastian Vettel,Red Bull Racing Renault,1:22.158,1:21.602,1:21.054,12
7,4,Kimi Räikkönen,Lotus Renault,1:22.210,1:21.676,1:21.177,17
3,5,Fernando Alonso,Ferrari,1:22.264,1:21.646,1:21.218,12
4,6,Felipe Massa,Ferrari,1:22.492,1:21.978,1:21.219,12
8,7,Romain Grosjean,Lotus Renault,1:22.613,1:21.998,1:21.308,16
2,8,Mark Webber,Red Bull Racing Renault,1:22.342,1:21.718,1:21.570,12
6,9,Sergio Perez,McLaren Mercedes,1:23.116,1:21.790,1:22.069,13
14,10,Paul di Resta,Force India Mercedes,1:22.663,1:22.019,1:22.233,17
19,11,Daniel Ricciardo,STR Ferrari,1:22.905,1:22.127,,14
18,12,Jean-Eric Vergne,STR Ferrari,1:22.775,1:22.166,,12
15,13,Adrian Sutil,Force India Mercedes,1:22.952,1:22.346,,12
5,14,Jenson Button,McLaren Mercedes,1:23.166,1:22.355,,9
11,15,Nico Hulkenberg,Sauber Ferrari,1:23.058,1:22.389,,13
12,16,Esteban Gutierrez ,Sauber Ferrari,1:23.218,1:22.793,,15
17,17,Valtteri Bottas,Williams Renault,1:23.260,,,9
16,18,Pastor Maldonado,Williams Renault,1:23.318,,,9
21,19,Giedo van der Garde,Caterham Renault,1:24.661,,,6
22,20,Jules Bianchi,Marussia Cosworth,1:24.713,,,6
23,21,Max Chilton,Marussia Cosworth,1:24.996,,,6
20,22,Charles Pic,Caterham Renault,1:25.070,,,6
