,Position,Driver,Car,Time / Gap
27,1,Ayrton Senna,McLaren Honda,1:17.634
1,2,Alain Prost,Ferrari,+0.758s
2,3,Nigel Mansell,Ferrari,+0.833s
5,4,Thierry Boutsen,Williams Renault,+0.878s
6,5,Riccardo Patrese,Williams Renault,+1.604s
4,6,Jean Alesi,Tyrrell Ford,+1.816s
19,7,Alessandro Nannini,Benetton Ford,+1.952s
9,8,Michele Alboreto,Arrows Ford,+2.144s
22,9,Andrea de Cesaris,Dallara Ford,+2.218s
29,10,Eric Bernard,Lola Lamborghini,+2.323s
12,11,Martin Donnelly,Lotus Lamborghini,+2.545s
25,12,Nicola Larini,Ligier Ford,+2.601s
26,13,Philippe Alliot,Ligier Ford,+2.633s
20,14,Nelson Piquet,Benetton Ford,+2.676s
36,15,Jyrki Jarvilehto,Onyx Ford,+2.841s
30,16,Aguri Suzuki,Lola Lamborghini,+2.863s
23,17,Pierluigi Martini,Minardi Ford,+3.105s
18,18,Yannick Dalmas,AGS Ford,+3.110s
8,19,Stefano Modena,Brabham Judd,+3.168s
11,20,Derek Warwick,Lotus Lamborghini,+3.218s
35,21,Stefan Johansson,Onyx Ford,+3.315s
28,22,Gerhard Berger,McLaren Honda,+3.355s
14,23,Olivier Grouillard,Osella Ford,+3.453s
3,24,Satoru Nakajima,Tyrrell Ford,+3.491s
10,25,Alex Caffi,Arrows Ford,+3.532s
24,26,Paolo Barilla,Minardi Ford,+3.620s
21,27,Gianni Morbidelli,Dallara Ford,+3.804s
7,28,Gregor Foitek,Brabham Judd,+4.247s
15,29,Mauricio Gugelmin,Leyton House Judd,+4.416s
16,30,Ivan Capelli,Leyton House Judd,+4.855s
