,Position,Driver,Car,Lap,Time
3,1,Jacques Villeneuve,Williams Renault,43,1:52.692
16,2,Johnny Herbert,Sauber Petronas,44,1:53.615
8,3,Gerhard Berger,Benetton Renault,43,1:53.649
2,4,Pedro Diniz,Arrows Yamaha,42,1:53.652
4,5,Heinz-Harald Frentzen,Williams Renault,43,1:53.874
1,6,Damon Hill,Arrows Yamaha,41,1:54.074
9,7,Mika Hakkinen,McLaren Mercedes,43,1:54.175
12,8,Giancarlo Fisichella,Jordan Peugeot,39,1:54.688
17,9,Gianni Morbidelli,Sauber Petronas,39,1:54.818
14,10,Jarno Trulli,Prost Mugen Honda,37,1:55.152
6,11,Eddie Irvine,Ferrari,29,1:55.290
5,12,Michael Schumacher,Ferrari,41,1:55.340
7,13,Jean Alesi,Benetton Renault,30,1:55.348
20,14,Ukyo Katayama,Minardi Hart,41,1:55.413
23,15,Jan Magnussen,Stewart Ford,41,1:55.726
19,16,Mika Salo,Tyrrell Ford,43,1:56.919
11,17,Ralf Schumacher,Jordan Peugeot,16,1:57.784
10,18,David Coulthard,McLaren Mercedes,16,1:59.169
18,19,Jos Verstappen,Tyrrell Ford,16,1:59.409
21,20,Tarso Marques,Minardi Hart,16,2:02.753
22,21,Rubens Barrichello,Stewart Ford,5,2:16.804
15,22,Shinji Nakano,Prost Mugen Honda,5,2:19.161
