,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:19.376
0,2,Damon Hill,Williams Renault,+0.757s
5,3,Michael Schumacher,Benetton Ford,+1.799s
28,4,Gerhard Berger,Ferrari,+1.936s
6,5,Riccardo Patrese,Benetton Ford,+2.074s
29,6,Karl Wendlinger,Sauber,+2.229s
7,7,Michael Andretti,McLaren Ford,+2.283s
8,8,Ayrton Senna,McLaren Ford,+2.644s
25,9,Martin Brundle,Ligier Renault,+2.704s
20,10,Erik Comas,Larrousse Lamborghini,+2.794s
14,11,Rubens Barrichello,Jordan Hart,+2.922s
26,12,Mark Blundell,Ligier Renault,+2.969s
12,13,Johnny Herbert,Lotus Ford,+3.204s
23,14,Christian Fittipaldi,Minardi Ford,+3.324s
10,15,Aguri Suzuki,Footwork Mugen Honda,+3.478s
9,16,Derek Warwick,Footwork Mugen Honda,+3.672s
11,17,Alessandro Zanardi,Lotus Ford,+3.725s
19,18,Philippe Alliot,Larrousse Lamborghini,+3.786s
30,19,Jyrki Jarvilehto,Sauber,+3.942s
15,20,Thierry Boutsen,Jordan Hart,+4.083s
4,21,Andrea de Cesaris,Tyrrell Yamaha,+4.729s
3,22,Ukyo Katayama,Tyrrell Yamaha,+4.776s
24,23,Fabrizio Barbazza,Minardi Ford,+5.427s
21,24,Michele Alboreto,Lola Ferrari,+5.542s
22,25,Luca Badoer,Lola Ferrari,+5.931s
