,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:19.747
0,2,Damon Hill,Williams Renault,+0.602s
27,3,Jean Alesi,Ferrari,+2.062s
5,4,Michael Schumacher,Benetton Ford,+2.115s
6,5,Riccardo Patrese,Benetton Ford,+2.271s
8,6,Ayrton Senna,McLaren Ford,+2.474s
29,7,Karl Wendlinger,Sauber,+2.997s
25,8,Martin Brundle,Ligier Renault,+3.114s
23,9,Christian Fittipaldi,Minardi Ford,+3.625s
7,10,Michael Andretti,McLaren Ford,+3.808s
19,11,Philippe Alliot,Larrousse Lamborghini,+3.928s
28,12,Gerhard Berger,Ferrari,+4.116s
4,13,Andrea de Cesaris,Tyrrell Yamaha,+4.227s
20,14,Erik Comas,Larrousse Lamborghini,+4.336s
12,15,Johnny Herbert,Lotus Ford,+4.380s
30,16,Jyrki Jarvilehto,Sauber,+4.415s
3,17,Ukyo Katayama,Tyrrell Yamaha,+4.446s
11,18,Alessandro Zanardi,Lotus Ford,+4.625s
24,19,Fabrizio Barbazza,Minardi Ford,+4.901s
21,20,Michele Alboreto,Lola Ferrari,+4.979s
26,21,Mark Blundell,Ligier Renault,+4.992s
10,22,Aguri Suzuki,Footwork Mugen Honda,+5.020s
9,23,Derek Warwick,Footwork Mugen Honda,+5.280s
14,24,Rubens Barrichello,Jordan Hart,+5.292s
15,25,Thierry Boutsen,Jordan Hart,+5.753s
22,26,Luca Badoer,Lola Ferrari,+6.038s
