,Position,Driver,Car,Time / Gap,Laps
22,1,Lewis Hamilton,McLaren Mercedes,1:15.752,42
4,2,Robert Kubica,Sauber BMW,+0.271s,41
1,3,Kimi Räikkönen,Ferrari,+0.341s,39
23,4,Heikki Kovalainen,McLaren Mercedes,+0.579s,36
2,5,Felipe Massa,Ferrari,+0.661s,27
3,6,Nick Heidfeld,Sauber BMW,+0.837s,43
10,7,Mark Webber,Red Bull Renault,+0.852s,39
7,8,Nico Rosberg,Williams Toyota,+1.015s,37
15,9,Sebastian Vettel,STR Ferrari,+1.267s,43
11,10,Jarno Trulli,Toyota,+1.316s,46
8,11,Kazuki Nakajima,Williams Toyota,+1.490s,37
9,12,David Coulthard,Red Bull Renault,+1.582s,31
17,13,Rubens Barrichello,Honda,+1.710s,39
21,14,Giancarlo Fisichella,Force India Ferrari,+1.756s,39
12,15,Timo Glock,Toyota,+1.797s,31
14,16,Sebastien Bourdais,STR Ferrari,+1.807s,38
5,17,Fernando Alonso,Renault,+1.892s,30
20,18,Adrian Sutil,Force India Ferrari,+2.061s,37
16,19,Jenson Button,Honda,+2.090s,39
6,20,Nelson Piquet,Renault,+2.324s,17
