,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,47,1:30.696,233.831,15:33:10
7,2,Kimi Räikkönen,Ferrari,51,1:30.795,233.576,15:39:19
44,3,Lewis Hamilton,Mercedes,52,1:31.245,232.424,15:40:49
77,4,Valtteri Bottas,Mercedes,43,1:31.377,232.089,15:27:01
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,46,1:31.589,231.551,15:31:43
33,6,Max Verstappen,Red Bull Racing TAG Heuer,42,1:32.007,230.499,15:25:32
27,7,Nico Hulkenberg,Renault,48,1:33.405,227.049,15:35:00
10,8,Pierre Gasly,Scuderia Toro Rosso Honda,48,1:33.465,226.904,15:35:04
11,9,Sergio Perez,Force India Mercedes,48,1:33.472,226.887,15:35:04
14,10,Fernando Alonso,McLaren Renault,52,1:33.482,226.862,15:41:18
2,11,Stoffel Vandoorne,McLaren Renault,48,1:33.551,226.695,15:35:05
20,12,Kevin Magnussen,Haas Ferrari,48,1:33.604,226.567,15:35:02
31,13,Esteban Ocon,Force India Mercedes,48,1:33.606,226.562,15:35:01
9,14,Marcus Ericsson,Sauber Ferrari,26,1:33.675,226.395,14:55:17
18,15,Lance Stroll,Williams Mercedes,48,1:33.869,225.927,15:35:08
8,16,Romain Grosjean,Haas Ferrari,28,1:34.391,224.678,14:58:28
55,17,Carlos Sainz,Renault,25,1:34.602,224.177,14:53:35
35,18,Sergey Sirotkin,Williams Mercedes,52,1:34.620,224.134,15:41:35
16,19,Charles Leclerc,Sauber Ferrari,3,1:35.209,222.747,14:18:11
