,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
1,1,Max Verstappen,Red Bull Racing RBPT,55,1:18.446,225.281,16:24:32
16,2,Charles Leclerc,Ferrari,63,1:18.574,224.914,16:36:07
11,3,Sergio Perez,Red Bull Racing RBPT,52,1:18.949,223.845,16:20:46
47,4,Mick Schumacher,Haas Ferrari,55,1:18.999,223.704,16:26:33
22,5,Yuki Tsunoda,AlphaTauri RBPT,61,1:20.544,219.412,16:33:29
77,6,Valtteri Bottas,Alfa Romeo Ferrari,43,1:20.758,218.831,16:08:51
4,7,Lando Norris,McLaren Mercedes,61,1:20.903,218.439,16:33:03
63,8,George Russell,Mercedes,57,1:20.962,218.280,16:27:45
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,47,1:21.211,217.610,16:14:34
20,10,Kevin Magnussen,Haas Ferrari,61,1:21.238,217.538,16:33:43
24,11,Guanyu Zhou,Alfa Romeo Ferrari,61,1:21.286,217.410,16:34:13
6,12,Nicholas Latifi,Williams Mercedes,62,1:21.338,217.271,16:35:37
44,13,Lewis Hamilton,Mercedes,50,1:21.419,217.054,16:19:00
3,14,Daniel Ricciardo,McLaren Mercedes,61,1:21.577,216.634,16:34:47
10,15,Pierre Gasly,AlphaTauri RBPT,34,1:21.713,216.274,15:57:05
18,16,Lance Stroll,Aston Martin Aramco Mercedes,46,1:21.750,216.176,16:13:27
23,17,Alexander Albon,Williams Mercedes,61,1:21.757,216.157,16:34:02
31,18,Esteban Ocon,Alpine Renault,37,1:21.887,215.814,16:01:09
14,19,Fernando Alonso,Alpine Renault,5,1:39.685,177.282,15:13:47
