,Position,Driver,Car,Laps,Time,Points
1,1,Max Verstappen,Red Bull Racing RBPT,21,30:39.567,8
16,2,Charles Leclerc,Ferrari,21,+2.975s,7
11,3,Sergio Perez,Red Bull Racing RBPT,21,+4.721s,6
55,4,Carlos Sainz,Ferrari,21,+17.578s,5
4,5,Lando Norris,McLaren Mercedes,21,+24.561s,4
3,6,Daniel Ricciardo,McLaren Mercedes,21,+27.740s,3
77,7,Valtteri Bottas,Alfa Romeo Ferrari,21,+28.133s,2
20,8,Kevin Magnussen,Haas Ferrari,21,+30.712s,1
14,9,Fernando Alonso,Alpine Renault,21,+32.278s,0
47,10,Mick Schumacher,Haas Ferrari,21,+33.773s,0
63,11,George Russell,Mercedes,21,+36.284s,0
22,12,Yuki Tsunoda,AlphaTauri RBPT,21,+38.298s,0
5,13,Sebastian Vettel,Aston Martin Aramco Mercedes,21,+40.177s,0
44,14,Lewis Hamilton,Mercedes,21,+41.459s,0
18,15,Lance Stroll,Aston Martin Aramco Mercedes,21,+42.910s,0
31,16,Esteban Ocon,Alpine Renault,21,+43.517s,0
10,17,Pierre Gasly,AlphaTauri RBPT,21,+43.794s,0
23,18,Alexander Albon,Williams Mercedes,21,+48.871s,0
6,19,Nicholas Latifi,Williams Mercedes,21,+52.017s,0
24,NC,Guanyu Zhou,Alfa Romeo Ferrari,0,DNF,0
