,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen,Red Bull Racing RBPT,1:19.295,1:18.793,1:27.999,22
16,2,Charles Leclerc,Ferrari,1:18.796,1:19.584,1:28.778,22
4,3,Lando Norris,McLaren Mercedes,1:20.168,1:19.294,1:29.131,22
20,4,Kevin Magnussen,Haas Ferrari,1:20.147,1:19.902,1:29.164,21
14,5,Fernando Alonso,Alpine Renault,1:20.198,1:19.595,1:29.202,26
3,6,Daniel Ricciardo,McLaren Mercedes,1:19.980,1:20.031,1:29.742,21
11,7,Sergio Perez,Red Bull Racing RBPT,1:19.773,1:19.296,1:29.808,25
77,8,Valtteri Bottas,Alfa Romeo Ferrari,1:20.419,1:20.192,1:30.439,23
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,1:20.364,1:19.957,1:31.062,25
55,10,Carlos Sainz,Ferrari,1:19.305,1:18.990,,13
63,11,George Russell,Mercedes,1:20.383,1:20.757,,16
47,12,Mick Schumacher,Haas Ferrari,1:20.422,1:20.916,,16
44,13,Lewis Hamilton,Mercedes,1:20.470,1:21.138,,15
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:19.730,1:21.434,,16
18,15,Lance Stroll,Aston Martin Aramco Mercedes,1:20.342,1:28.119,,14
22,16,Yuki Tsunoda,AlphaTauri RBPT,1:20.474,,,11
10,17,Pierre Gasly,AlphaTauri RBPT,1:20.732,,,11
6,18,Nicholas Latifi,Williams Mercedes,1:21.971,,,13
31,19,Esteban Ocon,Alpine Renault,1:22.338,,,9
23,NC,Alexander Albon,Williams Mercedes,DNF,,,3
