,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:29.402,24
55,2,Carlos Sainz,Ferrari,+0.877s,25
1,3,Max Verstappen,Red Bull Racing RBPT,+1.465s,21
20,4,Kevin Magnussen,Haas Ferrari,+3.037s,23
47,5,Mick Schumacher,Haas Ferrari,+3.586s,23
11,6,Sergio Perez,Red Bull Racing RBPT,+3.610s,17
14,7,Fernando Alonso,Alpine Renault,+3.758s,13
5,8,Sebastian Vettel,Aston Martin Aramco Mercedes,+3.963s,22
22,9,Yuki Tsunoda,AlphaTauri RBPT,+4.209s,18
63,10,George Russell,Mercedes,+4.860s,21
77,11,Valtteri Bottas,Alfa Romeo Ferrari,+5.213s,19
10,12,Pierre Gasly,AlphaTauri RBPT,+5.702s,19
31,13,Esteban Ocon,Alpine Renault,+6.018s,14
4,14,Lando Norris,McLaren Mercedes,+6.100s,12
3,15,Daniel Ricciardo,McLaren Mercedes,+6.223s,15
18,16,Lance Stroll,Aston Martin Aramco Mercedes,+6.631s,23
23,17,Alexander Albon,Williams Mercedes,+7.059s,17
44,18,Lewis Hamilton,Mercedes,+7.062s,17
24,19,Guanyu Zhou,Alfa Romeo Ferrari,+8.048s,22
6,20,Nicholas Latifi,Williams Mercedes,+10.296s,15
