,Position,Driver,Car,Time / Gap,Laps
5,1,Sebastian Vettel,RBR Renault,1:16.877,32
8,2,Fernando Alonso,Ferrari,+0.086s,35
4,3,Nico Rosberg,Mercedes,+0.274s,34
6,4,Mark Webber,RBR Renault,+0.396s,33
7,5,Felipe Massa,Ferrari,+0.524s,33
14,6,Adrian Sutil,Force India Mercedes,+0.538s,28
2,7,Lewis Hamilton,McLaren Mercedes,+0.645s,29
11,8,Robert Kubica,Renault,+0.652s,36
3,9,Michael Schumacher,Mercedes,+0.811s,34
15,10,Vitantonio Liuzzi,Force India Mercedes,+1.026s,35
1,11,Jenson Button,McLaren Mercedes,+1.084s,33
9,12,Rubens Barrichello,Williams Cosworth,+1.508s,27
10,13,Nico Hulkenberg,Williams Cosworth,+1.570s,41
12,14,Vitaly Petrov,Renault,+1.705s,40
22,15,Pedro de la Rosa,Sauber Ferrari,+1.781s,34
23,16,Kamui Kobayashi,Sauber Ferrari,+2.265s,38
16,17,Sebastien Buemi,STR Ferrari,+2.291s,32
17,18,Jaime Alguersuari,STR Ferrari,+2.397s,41
19,19,Heikki Kovalainen,Lotus Cosworth,+3.092s,35
20,20,Karun Chandhok,HRT Cosworth,+4.002s,29
21,21,Bruno Senna,HRT Cosworth,+4.220s,31
18,22,Jarno Trulli,Lotus Cosworth,+4.469s,11
24,23,Timo Glock,Virgin Cosworth,+4.611s,25
25,24,Lucas di Grassi,Virgin Cosworth,+4.700s,30
