,Position,Driver,Car,Time / Gap
1,1,Alain Prost,Ferrari,1:42.470
6,2,Riccardo Patrese,Williams Renault,+0.404s
20,3,Nelson Piquet,Benetton Ford,+0.819s
4,4,Jean Alesi,Tyrrell Ford,+1.231s
5,5,Thierry Boutsen,Williams Renault,+1.917s
2,6,Nigel Mansell,Ferrari,+1.939s
12,7,Martin Donnelly,Lotus Lamborghini,+2.273s
3,8,Satoru Nakajima,Tyrrell Ford,+2.727s
28,9,Gerhard Berger,McLaren Honda,+3.066s
26,10,Philippe Alliot,Ligier Ford,+3.254s
27,11,Ayrton Senna,McLaren Honda,+3.300s
10,12,Alex Caffi,Arrows Ford,+3.389s
16,13,Ivan Capelli,Leyton House Judd,+3.469s
15,14,Mauricio Gugelmin,Leyton House Judd,+3.615s
23,15,Pierluigi Martini,Minardi Ford,+3.624s
19,16,Alessandro Nannini,Benetton Ford,+3.708s
36,17,Jyrki Jarvilehto,Onyx Ford,+3.742s
11,18,Derek Warwick,Lotus Lamborghini,+3.799s
35,19,Gregor Foitek,Onyx Ford,+3.953s
22,20,Andrea de Cesaris,Dallara Ford,+4.102s
9,21,Michele Alboreto,Arrows Ford,+4.211s
21,22,Emanuele Pirro,Dallara Ford,+4.449s
29,23,Eric Bernard,Lola Lamborghini,+4.632s
25,24,Nicola Larini,Ligier Ford,+4.745s
8,25,Stefano Modena,Brabham Judd,+4.878s
18,26,Yannick Dalmas,AGS Ford,+5.374s
30,27,Aguri Suzuki,Lola Lamborghini,+5.909s
14,28,Olivier Grouillard,Osella Ford,+7.134s
24,29,Paolo Barilla,Minardi Ford,+7.200s
7,30,David Brabham,Brabham Judd,+31.503s
