,Position,Driver,Car,Lap,Time
5,1,Thierry Boutsen,Williams Renault,31,1:45.602
27,2,Ayrton Senna,McLaren Honda,36,1:45.711
28,3,Gerhard Berger,McLaren Honda,33,1:46.098
19,4,Alessandro Nannini,Benetton Ford,27,1:46.146
1,5,Alain Prost,Ferrari,27,1:46.839
6,6,Riccardo Patrese,Williams Renault,27,1:46.891
20,7,Nelson Piquet,Benetton Ford,20,1:46.949
2,8,Nigel Mansell,Ferrari,11,1:47.268
4,9,Jean Alesi,Tyrrell Ford,24,1:48.421
25,10,Nicola Larini,Ligier Ford,42,1:48.502
11,11,Derek Warwick,Lotus Lamborghini,28,1:48.547
16,12,Ivan Capelli,Leyton House Judd,26,1:48.799
10,13,Alex Caffi,Arrows Ford,33,1:49.054
29,14,Eric Bernard,Lola Lamborghini,29,1:49.071
30,15,Aguri Suzuki,Lola Lamborghini,24,1:49.128
3,16,Satoru Nakajima,Tyrrell Ford,17,1:49.896
36,17,Jyrki Jarvilehto,Onyx Ford,31,1:50.173
15,18,Mauricio Gugelmin,Leyton House Judd,8,1:50.255
23,19,Pierluigi Martini,Minardi Ford,11,1:51.326
35,20,Gregor Foitek,Onyx Ford,12,1:51.456
7,21,David Brabham,Brabham Judd,6,1:52.018
9,22,Michele Alboreto,Arrows Ford,7,1:52.041
12,23,Martin Donnelly,Lotus Lamborghini,1,2:07.152
