,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,57,1:36:00.498,25
7,2,Kimi Räikkönen,Lotus Renault,57,+9.111s,18
8,3,Romain Grosjean,Lotus Renault,57,+19.507s,15
14,4,Paul di Resta,Force India Mercedes,57,+21.727s,12
10,5,Lewis Hamilton,Mercedes,57,+35.230s,10
6,6,Sergio Perez,McLaren Mercedes,57,+35.998s,8
2,7,Mark Webber,Red Bull Racing Renault,57,+37.244s,6
3,8,Fernando Alonso,Ferrari,57,+37.574s,4
9,9,Nico Rosberg,Mercedes,57,+41.126s,2
5,10,Jenson Button,McLaren Mercedes,57,+46.631s,1
16,11,Pastor Maldonado,Williams Renault,57,+66.450s,0
11,12,Nico Hulkenberg,Sauber Ferrari,57,+72.933s,0
15,13,Adrian Sutil,Force India Mercedes,57,+76.719s,0
17,14,Valtteri Bottas,Williams Renault,57,+81.511s,0
4,15,Felipe Massa,Ferrari,57,+86.364s,0
19,16,Daniel Ricciardo,STR Ferrari,56,+1 lap,0
20,17,Charles Pic,Caterham Renault,56,+1 lap,0
12,18,Esteban Gutierrez ,Sauber Ferrari,56,+1 lap,0
22,19,Jules Bianchi,Marussia Cosworth,56,+1 lap,0
23,20,Max Chilton,Marussia Cosworth,56,+1 lap,0
21,21,Giedo van der Garde,Caterham Renault,55,+2 laps,0
18,NC,Jean-Eric Vergne,STR Ferrari,16,DNF,0
