,Position,Driver,Car,Lap,Time
6,1,Jacques Villeneuve,Williams Renault,37,1:22.873
5,2,Damon Hill,Williams Renault,37,1:23.762
1,3,Michael Schumacher,Ferrari,38,1:24.059
3,4,Jean Alesi,Benetton Renault,5,1:24.331
4,5,Gerhard Berger,Benetton Renault,47,1:24.647
7,6,Mika Hakkinen,McLaren Mercedes,24,1:24.747
15,7,Heinz-Harald Frentzen,Sauber Ford,24,1:24.869
11,8,Rubens Barrichello,Jordan Peugeot,18,1:24.954
9,9,Olivier Panis,Ligier Mugen Honda,58,1:25.008
12,10,Martin Brundle,Jordan Peugeot,36,1:25.028
2,11,Eddie Irvine,Ferrari,25,1:25.206
8,12,David Coulthard,McLaren Mercedes,49,1:25.362
14,13,Johnny Herbert,Sauber Ford,18,1:25.786
10,14,Pedro Diniz,Ligier Mugen Honda,43,1:25.791
17,15,Jos Verstappen,Footwork Hart,36,1:25.913
19,16,Mika Salo,Tyrrell Yamaha,6,1:26.199
18,17,Ukyo Katayama,Tyrrell Yamaha,44,1:26.447
16,18,Ricardo Rosset,Footwork Hart,3,1:26.863
20,19,Pedro Lamy,Minardi Ford,48,1:27.754
21,20,Giovanni Lavaggi,Minardi Ford,2,1:28.911
