,Position,Driver,Car,Laps,Time,Points
6,1,Jacques Villeneuve,Williams Renault,70,1:40:22.915,10
5,2,Damon Hill,Williams Renault,70,+19.966s,6
1,3,Michael Schumacher,Ferrari,70,+53.765s,4
3,4,Jean Alesi,Benetton Renault,70,+55.109s,3
2,5,Eddie Irvine,Ferrari,70,+87.389s,2
4,6,Gerhard Berger,Benetton Renault,70,+93.141s,1
15,7,Heinz-Harald Frentzen,Sauber Ford,69,+1 lap,0
14,8,Johnny Herbert,Sauber Ford,69,+1 lap,0
12,9,Martin Brundle,Jordan Peugeot,69,+1 lap,0
9,10,Olivier Panis,Ligier Mugen Honda,69,+1 lap,0
19,11,Mika Salo,Tyrrell Yamaha,69,+1 lap,0
18,12,Ukyo Katayama,Tyrrell Yamaha,68,+2 laps,0
8,13,David Coulthard,McLaren Mercedes,68,+2 laps,0
16,14,Ricardo Rosset,Footwork Hart,67,+3 laps,0
21,15,Giovanni Lavaggi,Minardi Ford,65,+5 laps,0
20,16,Pedro Lamy,Minardi Ford,65,+5 laps,0
7,NC,Mika Hakkinen,McLaren Mercedes,52,DNF,0
17,NC,Jos Verstappen,Footwork Hart,47,DNF,0
10,NC,Pedro Diniz,Ligier Mugen Honda,46,DNF,0
11,NC,Rubens Barrichello,Jordan Peugeot,41,DNF,0
