,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,18,1:25.155
7,2,Mika Hakkinen,McLaren Peugeot,29,1:25.872
0,3,Damon Hill,Williams Renault,17,1:25.874
8,4,Martin Brundle,McLaren Peugeot,33,1:26.233
6,5,Jyrki Jarvilehto,Benetton Ford,38,1:26.346
15,6,Eddie Irvine,Jordan Hart,40,1:26.580
3,7,Ukyo Katayama,Tyrrell Yamaha,15,1:26.658
14,8,Rubens Barrichello,Jordan Hart,31,1:26.863
2,9,David Coulthard,Williams Renault,10,1:26.983
4,10,Mark Blundell,Tyrrell Yamaha,14,1:27.468
20,11,Erik Comas,Larrousse Ford,14,1:27.533
27,12,Jean Alesi,Ferrari,9,1:27.558
28,13,Gerhard Berger,Ferrari,11,1:27.614
9,14,Christian Fittipaldi,Footwork Ford,27,1:28.002
10,15,Gianni Morbidelli,Footwork Ford,23,1:28.032
30,16,Heinz-Harald Frentzen,Sauber Mercedes,17,1:28.279
23,17,Pierluigi Martini,Minardi Ford,58,1:28.610
12,18,Johnny Herbert,Lotus Mugen Honda,38,1:28.901
26,19,Olivier Panis,Ligier Renault,39,1:29.118
25,20,Eric Bernard,Ligier Renault,34,1:29.233
24,21,Michele Alboreto,Minardi Ford,4,1:29.880
11,22,Alessandro Zanardi,Lotus Mugen Honda,9,1:30.493
31,23,David Brabham,Simtek Ford,13,1:30.558
34,24,Bertrand Gachot,Pacific Ilmor,28,1:31.557
33,25,Paul Belmondo,Pacific Ilmor,2,1:35.061
