,Position,Driver,Car,Time / Gap
2,1,Gerhard Berger,McLaren Honda,1:50.343
1,2,Ayrton Senna,McLaren Honda,+0.948s
28,3,Jean Alesi,Ferrari,+1.955s
27,4,Alain Prost,Ferrari,+2.192s
5,5,Nigel Mansell,Williams Renault,+3.251s
23,6,Pierluigi Martini,Minardi Ferrari,+3.640s
16,7,Ivan Capelli,Leyton House Ilmor,+3.669s
33,8,Andrea de Cesaris,Jordan Ford,+4.451s
4,9,Stefano Modena,Tyrrell Honda,+4.461s
24,10,Gianni Morbidelli,Minardi Ferrari,+4.750s
32,11,Michael Schumacher,Jordan Ford,+4.979s
19,12,Roberto Moreno,Benetton Ford,+5.421s
20,13,Nelson Piquet,Benetton Ford,+5.600s
21,14,Emanuele Pirro,Dallara Judd,+6.362s
22,15,Jyrki Jarvilehto,Dallara Judd,+6.426s
11,16,Mika Hakkinen,Lotus Judd,+6.631s
6,17,Riccardo Patrese,Williams Renault,+6.694s
25,18,Thierry Boutsen,Ligier Lamborghini,+7.084s
15,19,Mauricio Gugelmin,Leyton House Ilmor,+7.408s
29,20,Eric Bernard,Lola Ford,+7.549s
14,21,Olivier Grouillard,Fondmetal Ford,+7.555s
12,22,Johnny Herbert,Lotus Judd,+7.757s
8,23,Mark Blundell,Brabham Yamaha,+8.271s
30,24,Aguri Suzuki,Lola Ford,+8.337s
3,25,Satoru Nakajima,Tyrrell Honda,+8.382s
35,26,Eric van de Poele,Lambo Lamborghini,+8.519s
10,27,Alex Caffi,Footwork Porsche,+8.657s
26,28,Erik Comas,Ligier Lamborghini,+9.597s
34,29,Nicola Larini,Lambo Lamborghini,+10.098s
7,30,Martin Brundle,Brabham Yamaha,+52.645s
