,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:49.963
6,2,Riccardo Patrese,Williams Renault,+0.160s
1,3,Ayrton Senna,McLaren Honda,+0.510s
27,4,Alain Prost,Ferrari,+0.770s
32,5,Michael Schumacher,Jordan Ford,+1.108s
20,6,Nelson Piquet,Benetton Ford,+2.089s
28,7,Jean Alesi,Ferrari,+2.359s
23,8,Pierluigi Martini,Minardi Ferrari,+2.466s
2,9,Gerhard Berger,McLaren Honda,+2.806s
30,10,Aguri Suzuki,Lola Ford,+3.440s
25,11,Thierry Boutsen,Ligier Lamborghini,+3.699s
33,12,Andrea de Cesaris,Jordan Ford,+3.790s
19,13,Roberto Moreno,Benetton Ford,+3.949s
4,14,Stefano Modena,Tyrrell Honda,+3.957s
7,15,Martin Brundle,Brabham Yamaha,+4.033s
11,16,Mika Hakkinen,Lotus Judd,+4.133s
22,17,Jyrki Jarvilehto,Dallara Judd,+4.141s
15,18,Mauricio Gugelmin,Leyton House Ilmor,+4.180s
24,19,Gianni Morbidelli,Minardi Ferrari,+4.270s
29,20,Eric Bernard,Lola Ford,+4.349s
16,21,Ivan Capelli,Leyton House Ilmor,+4.507s
3,22,Satoru Nakajima,Tyrrell Honda,+4.597s
8,23,Mark Blundell,Brabham Yamaha,+4.689s
34,24,Nicola Larini,Lambo Lamborghini,+4.959s
26,25,Erik Comas,Ligier Lamborghini,+5.371s
14,26,Olivier Grouillard,Fondmetal Ford,+5.737s
12,27,Johnny Herbert,Lotus Judd,+5.876s
21,28,Emanuele Pirro,Dallara Judd,+7.208s
35,29,Eric van de Poele,Lambo Lamborghini,+7.225s
10,30,Alex Caffi,Footwork Porsche,+9.084s
