,Position,Driver,Car,Lap,Time
19,1,Roberto Moreno,Benetton Ford,40,1:55.161
2,2,Gerhard Berger,McLaren Honda,39,1:55.601
6,3,Riccardo Patrese,Williams Renault,39,1:55.993
5,4,Nigel Mansell,Williams Renault,21,1:56.459
1,5,Ayrton Senna,McLaren Honda,42,1:56.471
33,6,Andrea de Cesaris,Jordan Ford,25,1:56.477
20,7,Nelson Piquet,Benetton Ford,26,1:57.084
23,8,Pierluigi Martini,Minardi Ferrari,22,1:57.303
28,9,Jean Alesi,Ferrari,29,1:57.308
4,10,Stefano Modena,Tyrrell Honda,21,1:57.793
21,11,Emanuele Pirro,Dallara Judd,32,1:58.017
8,12,Mark Blundell,Brabham Yamaha,24,1:58.145
22,13,Jyrki Jarvilehto,Dallara Judd,23,1:58.164
26,14,Erik Comas,Ligier Lamborghini,20,1:58.348
24,15,Gianni Morbidelli,Minardi Ferrari,29,1:58.443
7,16,Martin Brundle,Brabham Yamaha,22,1:58.540
12,17,Johnny Herbert,Lotus Judd,29,1:58.606
25,18,Thierry Boutsen,Ligier Lamborghini,15,1:58.921
14,19,Olivier Grouillard,Fondmetal Ford,19,1:59.340
11,20,Mika Hakkinen,Lotus Judd,25,1:59.527
16,21,Ivan Capelli,Leyton House Ilmor,11,1:59.757
29,22,Eric Bernard,Lola Ford,18,2:01.062
27,23,Alain Prost,Ferrari,2,2:01.161
3,24,Satoru Nakajima,Tyrrell Honda,6,2:02.123
15,25,Mauricio Gugelmin,Leyton House Ilmor,1,2:16.691
