,Position,Driver,Car,Time
7,1,Martin Brundle,Brabham Yamaha,1:54.929
1,1,Ayrton Senna,McLaren Honda,1:47.811
6,2,Riccardo Patrese,Williams Renault,1:48.661
8,2,Mark Blundell,Brabham Yamaha,1:56.446
14,3,Olivier Grouillard,Fondmetal Ford,1:58.447
27,3,Alain Prost,Ferrari,1:48.821
5,4,Nigel Mansell,Williams Renault,1:48.828
10,4,Alex Caffi,Footwork Porsche,1:59.460
2,5,Gerhard Berger,McLaren Honda,1:49.485
9,5,Michele Alboreto,Footwork Porsche,1:59.910
28,6,Jean Alesi,Ferrari,1:49.974
17,6,Gabriele Tarquini,AGS Ford,1:59.972
20,7,Nelson Piquet,Benetton Ford,1:50.540
31,7,Pedro Chaves,Coloni Ford,2:01.921
18,8,Fabrizio Barbazza,AGS Ford,2:03.766
32,8,Michael Schumacher,Jordan Ford,1:51.212
19,9,Roberto Moreno,Benetton Ford,1:51.283
23,10,Pierluigi Martini,Minardi Ferrari,1:51.299
4,11,Stefano Modena,Tyrrell Honda,1:51.307
33,12,Andrea de Cesaris,Jordan Ford,1:51.986
16,13,Ivan Capelli,Leyton House Ilmor,1:52.113
22,15,Jyrki Jarvilehto,Dallara Judd,1:52.417
15,16,Mauricio Gugelmin,Leyton House Ilmor,1:52.623
25,18,Thierry Boutsen,Ligier Lamborghini,1:52.709
24,19,Gianni Morbidelli,Minardi Ferrari,1:52.896
29,20,Eric Bernard,Lola Ford,1:53.309
12,21,Johnny Herbert,Lotus Judd,1:53.361
3,22,Satoru Nakajima,Tyrrell Honda,1:53.494
11,24,Mika Hakkinen,Lotus Judd,1:53.799
21,25,Emanuele Pirro,Dallara Judd,1:53.839
26,26,Erik Comas,Ligier Lamborghini,1:53.847
30,27,Aguri Suzuki,Lola Ford,1:53.869
34,28,Nicola Larini,Lambo Lamborghini,1:54.781
35,30,Eric van de Poele,Lambo Lamborghini,1:57.746
