,Position,Driver,Car,Time / Gap
28,1,Gerhard Berger,McLaren Honda,1:08.582
6,2,Riccardo Patrese,Williams Renault,+0.187s
2,3,Nigel Mansell,Ferrari,+0.430s
27,4,Ayrton Senna,McLaren Honda,+0.513s
4,5,Jean Alesi,Tyrrell Ford,+0.950s
5,6,Thierry Boutsen,Williams Renault,+1.055s
20,7,Nelson Piquet,Benetton Ford,+1.179s
3,8,Satoru Nakajima,Tyrrell Ford,+1.324s
19,9,Alessandro Nannini,Benetton Ford,+1.349s
1,10,Alain Prost,Ferrari,+1.494s
30,11,Aguri Suzuki,Lola Lamborghini,+1.637s
11,12,Derek Warwick,Lotus Lamborghini,+2.136s
29,13,Eric Bernard,Lola Lamborghini,+2.501s
10,14,Alex Caffi,Arrows Ford,+2.548s
16,15,Ivan Capelli,Leyton House Judd,+2.821s
12,16,Martin Donnelly,Lotus Lamborghini,+2.877s
9,17,Michele Alboreto,Arrows Ford,+2.955s
15,18,Mauricio Gugelmin,Leyton House Judd,+2.974s
8,19,Stefano Modena,Brabham Judd,+3.260s
23,20,Pierluigi Martini,Minardi Ford,+3.494s
24,21,Paolo Barilla,Minardi Ford,+3.738s
26,22,Philippe Alliot,Ligier Ford,+3.861s
22,23,Andrea de Cesaris,Dallara Ford,+3.917s
25,24,Nicola Larini,Ligier Ford,+3.945s
21,25,Emanuele Pirro,Dallara Ford,+4.062s
36,26,Jyrki Jarvilehto,Onyx Ford,+4.236s
7,27,David Brabham,Brabham Judd,+4.237s
17,28,Gabriele Tarquini,AGS Ford,+4.345s
35,29,Gregor Foitek,Onyx Ford,+4.811s
14,30,Olivier Grouillard,Osella Ford,+5.040s
