,Position,Driver,Car,Time / Gap
1,1,Alain Prost,Ferrari,1:08.577
4,2,Jean Alesi,Tyrrell Ford,+0.283s
6,3,Riccardo Patrese,Williams Renault,+0.849s
20,4,Nelson Piquet,Benetton Ford,+0.953s
2,5,Nigel Mansell,Ferrari,+0.993s
5,6,Thierry Boutsen,Williams Renault,+1.435s
27,7,Ayrton Senna,McLaren Honda,+1.465s
29,8,Eric Bernard,Lola Lamborghini,+1.581s
19,9,Alessandro Nannini,Benetton Ford,+1.948s
11,10,Derek Warwick,Lotus Lamborghini,+1.960s
12,11,Martin Donnelly,Lotus Lamborghini,+1.972s
16,12,Ivan Capelli,Leyton House Judd,+1.979s
3,13,Satoru Nakajima,Tyrrell Ford,+2.148s
9,14,Michele Alboreto,Arrows Ford,+2.391s
10,15,Alex Caffi,Arrows Ford,+2.502s
23,16,Pierluigi Martini,Minardi Ford,+2.593s
28,17,Gerhard Berger,McLaren Honda,+2.795s
15,18,Mauricio Gugelmin,Leyton House Judd,+2.852s
24,19,Paolo Barilla,Minardi Ford,+3.071s
21,20,Emanuele Pirro,Dallara Ford,+3.116s
25,21,Nicola Larini,Ligier Ford,+3.159s
14,22,Olivier Grouillard,Osella Ford,+3.349s
8,23,Stefano Modena,Brabham Judd,+3.397s
22,24,Andrea de Cesaris,Dallara Ford,+3.466s
30,25,Aguri Suzuki,Lola Lamborghini,+3.615s
26,26,Philippe Alliot,Ligier Ford,+3.722s
36,27,Jyrki Jarvilehto,Onyx Ford,+3.987s
17,28,Gabriele Tarquini,AGS Ford,+4.034s
7,29,David Brabham,Brabham Judd,+4.067s
35,30,Gregor Foitek,Onyx Ford,+4.718s
