,Position,Driver,Car,Laps,Time,Points
2,1,Stirling Moss,Vanwall,50,2:11:27.800,8
22,2,Mike Hawthorn,Ferrari,50,+312.750s,7
6,3,Stuart  Lewis-Evans ,Vanwall,49,+1 lap,4
8,4,Jean Behra,BRM,49,+1 lap,3
24,5,Wolfgang von Trips,Ferrari,49,+1 lap,2
10,6,Harry Schell,BRM,49,+1 lap,0
14,7,Jack Brabham,Cooper Climax,48,+2 laps,0
12,8,Maurice  Trintignant,Cooper Climax,48,+2 laps,0
28,NC,Carroll  Shelby ,Maserati,47,DNF,0
16,9,Roy Salvadori,Cooper Climax,46,+4 laps,0
4,NC,Tony Brooks,Vanwall,36,DNF,0
20,NC,Graham Hill,Lotus Climax,25,DNF,0
18,NC,Cliff Allison,Maserati,15,DNF,0
32,NC,Jo Bonnier,Maserati,9,DNF,0
30,NC,Maria Teresa de Filippis ,Maserati,6,DNF,0
