,Position,Driver,Car,Time / Gap,Laps
5,1,Felipe Massa,Ferrari,1:35.780,34
3,2,Giancarlo Fisichella,Renault,+0.130s,36
4,3,Heikki Kovalainen,Renault,+0.326s,37
6,4,Kimi Räikkönen,Ferrari,+0.380s,33
16,5,Nico Rosberg,Williams Toyota,+0.743s,31
17,6,Alexander Wurz,Williams Toyota,+0.841s,21
10,7,Robert Kubica,Sauber BMW,+0.937s,18
11,8,Ralf Schumacher,Toyota,+0.980s,28
2,9,Lewis Hamilton,McLaren Mercedes,+1.017s,30
9,10,Nick Heidfeld,Sauber BMW,+1.082s,25
15,11,Mark Webber,Red Bull Renault,+1.126s,18
1,12,Fernando Alonso,McLaren Mercedes,+1.261s,26
14,13,David Coulthard,Red Bull Renault,+1.423s,25
22,14,Takuma Sato,Super Aguri Honda,+1.502s,30
7,15,Jenson Button,Honda,+1.798s,29
12,16,Jarno Trulli,Toyota,+1.932s,34
18,17,Vitantonio Liuzzi,STR Ferrari,+2.075s,26
23,18,Anthony Davidson,Super Aguri Honda,+2.554s,27
20,19,Adrian Sutil,Spyker Ferrari,+2.639s,28
19,20,Scott Speed,STR Ferrari,+2.870s,20
8,21,Rubens Barrichello,Honda,+2.933s,20
21,22,Christijan Albers,Spyker Ferrari,+4.027s,23
