,Position,Driver,Car,Time / Gap,Laps
2,1,David Coulthard,McLaren Mercedes,1:53.398,14
1,2,Mika Hakkinen,McLaren Mercedes,+0.521s,17
8,3,Johnny Herbert,Jaguar Cosworth,+0.547s,24
22,4,Jacques Villeneuve,BAR Honda,+0.738s,31
3,5,Michael Schumacher,Ferrari,+0.828s,21
12,6,Alexander Wurz,Benetton Playlife,+0.868s,27
19,7,Jos Verstappen,Arrows Supertec,+0.940s,19
11,8,Giancarlo Fisichella,Benetton Playlife,+0.952s,20
4,9,Rubens Barrichello,Ferrari,+1.104s,26
6,10,Jarno Trulli,Jordan Mugen Honda,+1.268s,24
20,11,Marc Gene,Minardi Fondmetal,+1.434s,29
9,12,Ralf Schumacher,Williams BMW,+1.811s,23
10,13,Jenson Button,Williams BMW,+1.872s,26
16,14,Pedro Diniz,Sauber Petronas,+1.914s,25
23,15,Ricardo Zonta,BAR Honda,+2.148s,26
7,16,Eddie Irvine,Jaguar Cosworth,+2.247s,22
5,17,Heinz-Harald Frentzen,Jordan Mugen Honda,+2.352s,19
17,18,Mika Salo,Sauber Petronas,+2.449s,28
21,19,Gaston Mazzacane,Minardi Fondmetal,+2.724s,32
18,20,Pedro de la Rosa,Arrows Supertec,+2.854s,15
14,21,Jean Alesi,Prost Peugeot,+3.110s,16
15,22,Nick Heidfeld,Prost Peugeot,+3.459s,30
