,Position,Driver,Car,Time,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:50.646,11
6,2,Jarno Trulli,Jordan Mugen Honda,1:51.419,12
10,3,Jenson Button,Williams BMW,1:51.444,12
3,4,Michael Schumacher,Ferrari,1:51.552,12
2,5,David Coulthard,McLaren Mercedes,1:51.587,11
9,6,Ralf Schumacher,Williams BMW,1:51.743,12
22,7,Jacques Villeneuve,BAR Honda,1:51.799,12
5,8,Heinz-Harald Frentzen,Jordan Mugen Honda,1:51.926,11
8,9,Johnny Herbert,Jaguar Cosworth,1:52.242,12
4,10,Rubens Barrichello,Ferrari,1:52.444,12
11,11,Giancarlo Fisichella,Benetton Playlife,1:52.756,5
7,12,Eddie Irvine,Jaguar Cosworth,1:52.885,11
23,13,Ricardo Zonta,BAR Honda,1:53.002,11
15,14,Nick Heidfeld,Prost Peugeot,1:53.193,12
16,15,Pedro Diniz,Sauber Petronas,1:53.211,11
18,16,Pedro de la Rosa,Arrows Supertec,1:53.237,11
14,17,Jean Alesi,Prost Peugeot,1:53.309,11
17,18,Mika Salo,Sauber Petronas,1:53.357,11
12,19,Alexander Wurz,Benetton Playlife,1:53.403,5
19,20,Jos Verstappen,Arrows Supertec,1:53.912,12
20,21,Marc Gene,Minardi Fondmetal,1:54.680,10
21,22,Gaston Mazzacane,Minardi Fondmetal,1:54.784,12
