,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:48.019,1:46.999,1:46.744,12
33,2,Max Verstappen,Red Bull Racing TAG Heuer,1:48.407,1:47.163,1:46.893,12
7,3,Kimi Räikkönen,Ferrari,1:47.912,1:47.664,1:46.910,13
5,4,Sebastian Vettel,Ferrari,1:47.802,1:47.944,1:47.108,14
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:48.407,1:48.027,1:47.216,12
11,6,Sergio Perez,Force India Mercedes,1:48.106,1:47.485,1:47.407,12
27,7,Nico Hulkenberg,Force India Mercedes,1:48.080,1:47.317,1:47.543,12
77,8,Valtteri Bottas,Williams Mercedes,1:48.655,1:47.918,1:47.612,12
22,9,Jenson Button,McLaren Honda,1:48.700,1:48.051,1:48.114,15
19,10,Felipe Massa,Williams Mercedes,1:47.738,1:47.667,1:48.263,12
8,11,Romain Grosjean,Haas Ferrari,1:48.751,1:48.316,,12
20,12,Kevin Magnussen,Renault,1:48.800,1:48.485,,12
21,13,Esteban Gutierrez ,Haas Ferrari,1:48.748,1:48.598,,12
30,14,Jolyon Palmer,Renault,1:48.901,1:48.888,,12
55,15,Carlos Sainz,Toro Rosso Ferrari,1:48.876,1:49.038,,9
94,16,Pascal Wehrlein,MRT Mercedes,1:48.554,1:49.320,,11
12,17,Felipe Nasr,Sauber Ferrari,1:48.949,,,6
31,18,Esteban Ocon,MRT Mercedes,1:49.050,,,7
26,19,Daniil Kvyat,Toro Rosso Ferrari,1:49.058,,,6
9,20,Marcus Ericsson,Sauber Ferrari,1:49.071,,,6
44,21,Lewis Hamilton,Mercedes,1:50.033,,,4
14,NC,Fernando Alonso,McLaren Honda,DNS,,,1
