,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,54.064,23
77,2,Valtteri Bottas,Mercedes,+0.206s,20
10,3,Pierre Gasly,AlphaTauri Honda,+0.363s,24
31,4,Esteban Ocon,Renault,+0.389s,21
4,5,Lando Norris,McLaren Renault,+0.542s,15
23,6,Alexander Albon,Red Bull Racing Honda,+0.565s,22
63,7,George Russell,Mercedes,+0.600s,20
11,8,Sergio Perez,Racing Point BWT Mercedes,+0.614s,20
18,9,Lance Stroll,Racing Point BWT Mercedes,+0.629s,18
55,10,Carlos Sainz,McLaren Renault,+0.656s,16
99,11,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+0.781s,20
26,12,Daniil Kvyat,AlphaTauri Honda,+0.786s,23
16,13,Charles Leclerc,Ferrari,+0.790s,21
3,14,Daniel Ricciardo,Renault,+0.793s,15
5,15,Sebastian Vettel,Ferrari,+0.794s,17
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.107s,20
20,17,Kevin Magnussen,Haas Ferrari,+1.283s,19
6,18,Nicholas Latifi,Williams Mercedes,+1.429s,21
51,19,Pietro Fittipaldi,Haas Ferrari,+1.602s,21
89,20,Jack Aitken,Williams Mercedes,+1.606s,23
