,Position,Driver,Car,Time / Gap,Laps
63,1,George Russell,Mercedes,54.713,48
33,2,Max Verstappen,Red Bull Racing Honda,+0.128s,43
11,3,Sergio Perez,Racing Point BWT Mercedes,+0.153s,52
31,4,Esteban Ocon,Renault,+0.227s,50
23,5,Alexander Albon,Red Bull Racing Honda,+0.323s,42
26,6,Daniil Kvyat,AlphaTauri Honda,+0.355s,58
18,7,Lance Stroll,Racing Point BWT Mercedes,+0.391s,44
3,8,Daniel Ricciardo,Renault,+0.411s,47
10,9,Pierre Gasly,AlphaTauri Honda,+0.420s,48
55,10,Carlos Sainz,McLaren Renault,+0.545s,39
77,11,Valtteri Bottas,Mercedes,+0.608s,52
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+0.771s,54
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+0.820s,57
20,14,Kevin Magnussen,Haas Ferrari,+1.025s,49
6,15,Nicholas Latifi,Williams Mercedes,+1.071s,52
5,16,Sebastian Vettel,Ferrari,+1.117s,43
4,17,Lando Norris,McLaren Renault,+1.318s,14
51,18,Pietro Fittipaldi,Haas Ferrari,+1.397s,56
89,19,Jack Aitken,Williams Mercedes,+1.547s,58
16,20,Charles Leclerc,Ferrari,,2
