,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
63,1,George Russell,Mercedes,80,55.404,230.214,21:37:40
77,2,Valtteri Bottas,Mercedes,60,56.563,225.497,21:14:20
11,3,Sergio Perez,Racing Point BWT Mercedes,69,56.789,224.599,21:26:51
99,4,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,56,56.887,224.212,21:11:48
5,5,Sebastian Vettel,Ferrari,56,56.905,224.141,21:11:41
3,6,Daniel Ricciardo,Renault,57,56.979,223.850,21:12:13
26,7,Daniil Kvyat,AlphaTauri Honda,80,57.001,223.764,21:37:31
23,8,Alexander Albon,Red Bull Racing Honda,52,57.056,223.548,21:07:04
55,9,Carlos Sainz,McLaren Renault,80,57.165,223.122,21:37:28
10,10,Pierre Gasly,AlphaTauri Honda,53,57.220,222.908,21:08:14
4,11,Lando Norris,McLaren Renault,85,57.270,222.713,21:42:22
31,12,Esteban Ocon,Renault,75,57.350,222.402,21:32:38
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,56,57.375,222.305,21:12:07
18,14,Lance Stroll,Racing Point BWT Mercedes,85,57.388,222.255,21:42:15
89,15,Jack Aitken,Williams Mercedes,56,57.392,222.240,21:12:03
20,16,Kevin Magnussen,Haas Ferrari,57,57.516,221.760,21:12:57
51,17,Pietro Fittipaldi,Haas Ferrari,56,57.742,220.892,21:12:32
6,18,Nicholas Latifi,Williams Mercedes,29,58.206,219.132,20:44:51
