,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,53.904,53.803,53.377,24
63,2,George Russell,Mercedes,54.160,53.819,53.403,25
33,3,Max Verstappen,Red Bull Racing Honda,54.037,53.647,53.433,17
16,4,Charles Leclerc,Ferrari,54.249,53.825,53.613,21
11,5,Sergio Perez,Racing Point BWT Mercedes,54.236,53.787,53.790,17
26,6,Daniil Kvyat,AlphaTauri Honda,54.346,53.856,53.906,26
3,7,Daniel Ricciardo,Renault,54.388,53.871,53.957,15
55,8,Carlos Sainz,McLaren Renault,54.450,53.818,54.010,20
10,9,Pierre Gasly,AlphaTauri Honda,54.207,53.941,54.154,28
18,10,Lance Stroll,Racing Point BWT Mercedes,54.595,53.840,54.200,19
31,11,Esteban Ocon,Renault,54.309,53.995,,13
23,12,Alexander Albon,Red Bull Racing Honda,54.620,54.026,,12
5,13,Sebastian Vettel,Ferrari,54.301,54.175,,17
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,54.523,54.377,,14
4,15,Lando Norris,McLaren Renault,54.194,54.693,,15
20,16,Kevin Magnussen,Haas Ferrari,54.705,,,9
6,17,Nicholas Latifi,Williams Mercedes,54.796,,,11
89,18,Jack Aitken,Williams Mercedes,54.892,,,9
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,54.963,,,11
51,20,Pietro Fittipaldi,Haas Ferrari,55.426,,,11
