,Position,Driver,Car,Laps,Time,Points
11,1,Sergio Perez,Racing Point BWT Mercedes,87,1:31:15.114,25
31,2,Esteban Ocon,Renault,87,+10.518s,18
18,3,Lance Stroll,Racing Point BWT Mercedes,87,+11.869s,15
55,4,Carlos Sainz,McLaren Renault,87,+12.580s,12
3,5,Daniel Ricciardo,Renault,87,+13.330s,10
23,6,Alexander Albon,Red Bull Racing Honda,87,+13.842s,8
26,7,Daniil Kvyat,AlphaTauri Honda,87,+14.534s,6
77,8,Valtteri Bottas,Mercedes,87,+15.389s,4
63,9,George Russell,Mercedes,87,+18.556s,3
4,10,Lando Norris,McLaren Renault,87,+19.541s,1
10,11,Pierre Gasly,AlphaTauri Honda,87,+20.527s,0
5,12,Sebastian Vettel,Ferrari,87,+22.611s,0
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,87,+24.111s,0
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,87,+26.153s,0
20,15,Kevin Magnussen,Haas Ferrari,87,+32.370s,0
89,16,Jack Aitken,Williams Mercedes,87,+33.674s,0
51,17,Pietro Fittipaldi,Haas Ferrari,87,+36.858s,0
6,NC,Nicholas Latifi,Williams Mercedes,52,DNF,0
33,NC,Max Verstappen,Red Bull Racing Honda,0,DNF,0
16,NC,Charles Leclerc,Ferrari,0,DNF,0
