,Position,Driver,Car,Time
77,1,Valtteri Bottas,Mercedes,53.377
63,2,George Russell,Mercedes,53.403
33,3,Max Verstappen,Red Bull Racing Honda,53.433
16,4,Charles Leclerc,Ferrari,53.613
11,5,Sergio Perez,Racing Point BWT Mercedes,53.790
26,6,Daniil Kvyat,AlphaTauri Honda,53.906
3,7,Daniel Ricciardo,Renault,53.957
55,8,Carlos Sainz,McLaren Renault,54.010
10,9,Pierre Gasly,AlphaTauri Honda,54.154
18,10,Lance Stroll,Racing Point BWT Mercedes,54.200
31,11,Esteban Ocon,Renault,53.995
23,12,Alexander Albon,Red Bull Racing Honda,54.026
5,13,Sebastian Vettel,Ferrari,54.175
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,54.377
20,15,Kevin Magnussen,Haas Ferrari,54.705
6,16,Nicholas Latifi,Williams Mercedes,54.796
89,17,Jack Aitken,Williams Mercedes,54.892
7,18,Kimi Räikkönen,Alfa Romeo Racing Ferrari,54.963
4,19,Lando Norris,McLaren Renault,54.693
51,20,Pietro Fittipaldi,Haas Ferrari,55.426
