,Position,Driver,Car,Lap,Time,Avg Speed
10,1,Timo Glock,Toyota,55,1:38.683,197.687
22,2,Jenson Button,Brawn Mercedes,46,1:38.874,197.305
23,3,Rubens Barrichello,Brawn Mercedes,39,1:38.990,197.074
1,4,Lewis Hamilton,McLaren Mercedes,57,1:39.056,196.943
4,5,Kimi Räikkönen,Ferrari,39,1:39.207,196.643
16,6,Nico Rosberg,Williams Toyota,52,1:39.329,196.401
2,7,Heikki Kovalainen,McLaren Mercedes,56,1:39.341,196.378
5,8,Robert Kubica,Sauber BMW,55,1:39.374,196.312
8,9,Romain Grosjean,Renault,41,1:39.428,196.206
7,10,Fernando Alonso,Renault,46,1:39.494,196.076
14,11,Mark Webber,RBR Renault,50,1:39.528,196.009
20,12,Adrian Sutil,Force India Mercedes,36,1:39.622,195.824
6,13,Nick Heidfeld,Sauber BMW,53,1:39.704,195.663
17,14,Kazuki Nakajima,Williams Toyota,53,1:39.747,195.578
9,15,Jarno Trulli,Toyota,52,1:39.941,195.199
15,16,Sebastian Vettel,RBR Renault,13,1:39.992,195.099
21,17,Giancarlo Fisichella,Force India Mercedes,53,1:40.111,194.867
3,18,Luca Badoer,Ferrari,52,1:40.590,193.939
11,19,Jaime Alguersuari,STR Ferrari,29,1:40.935,193.276
12,20,Sebastien Buemi,STR Ferrari,37,1:41.042,193.072
