,Position,Driver,Car,Time / Gap,Laps
2,1,Lewis Hamilton,McLaren Mercedes,1:22.498,19
5,2,Sebastian Vettel,RBR Renault,+0.047s,21
8,3,Fernando Alonso,Ferrari,+0.146s,15
7,4,Felipe Massa,Ferrari,+0.150s,16
1,5,Jenson Button,McLaren Mercedes,+0.226s,19
4,6,Nico Rosberg,Mercedes,+0.448s,17
6,7,Mark Webber,RBR Renault,+0.584s,9
10,8,Nico Hulkenberg,Williams Cosworth,+0.631s,18
11,9,Robert Kubica,Renault,+0.711s,20
14,10,Adrian Sutil,Force India Mercedes,+0.805s,19
9,11,Rubens Barrichello,Williams Cosworth,+0.952s,19
16,12,Sebastien Buemi,STR Ferrari,+1.175s,20
3,13,Michael Schumacher,Mercedes,+1.398s,21
23,14,Kamui Kobayashi,Sauber Ferrari,+1.410s,24
17,15,Jaime Alguersuari,STR Ferrari,+1.411s,17
12,16,Vitaly Petrov,Renault,+1.469s,19
22,17,Pedro de la Rosa,Sauber Ferrari,+1.693s,19
15,18,Vitantonio Liuzzi,Force India Mercedes,+1.941s,15
18,19,Jarno Trulli,Lotus Cosworth,+3.290s,14
19,20,Heikki Kovalainen,Lotus Cosworth,+3.427s,16
24,21,Timo Glock,Virgin Cosworth,+3.936s,18
25,22,Lucas di Grassi,Virgin Cosworth,+4.184s,19
21,23,Bruno Senna,HRT Cosworth,+4.973s,18
20,24,Sakon Yamamoto,HRT Cosworth,+6.232s,14
