,Position,Driver,Car,Q1,Q2,Q3,Laps
8,1,Fernando Alonso,Ferrari,1:22.646,1:22.297,1:21.962,23
1,2,Jenson Button,McLaren Mercedes,1:23.085,1:22.354,1:22.084,21
7,3,Felipe Massa,Ferrari,1:22.421,1:22.610,1:22.293,25
6,4,Mark Webber,RBR Renault,1:23.431,1:22.706,1:22.433,26
2,5,Lewis Hamilton,McLaren Mercedes,1:22.830,1:22.394,1:22.623,17
5,6,Sebastian Vettel,RBR Renault,1:23.235,1:22.701,1:22.675,23
4,7,Nico Rosberg,Mercedes,1:23.529,1:23.055,1:23.027,23
10,8,Nico Hulkenberg,Williams Cosworth,1:23.516,1:22.989,1:23.037,23
11,9,Robert Kubica,Renault,1:23.234,1:22.880,1:23.039,18
9,10,Rubens Barrichello,Williams Cosworth,1:23.695,1:23.142,1:23.328,26
14,11,Adrian Sutil,Force India Mercedes,1:23.493,1:23.199,,16
3,12,Michael Schumacher,Mercedes,1:23.840,1:23.388,,19
23,13,Kamui Kobayashi,Sauber Ferrari,1:24.273,1:23.659,,17
16,14,Sebastien Buemi,STR Ferrari,1:23.744,1:23.681,,19
12,15,Vitaly Petrov,Renault,1:24.086,1:23.819,,17
17,16,Jaime Alguersuari,STR Ferrari,1:24.083,1:23.919,,19
22,17,Pedro de la Rosa,Sauber Ferrari,1:24.442,1:24.044,,16
18,18,Jarno Trulli,Lotus Cosworth,1:25.540,,,10
19,19,Heikki Kovalainen,Lotus Cosworth,1:25.742,,,11
15,20,Vitantonio Liuzzi,Force India Mercedes,1:25.774,,,3
24,21,Timo Glock,Virgin Cosworth,1:25.934,,,11
25,22,Lucas di Grassi,Virgin Cosworth,1:25.974,,,10
21,23,Bruno Senna,HRT Cosworth,1:26.847,,,11
20,24,Sakon Yamamoto,HRT Cosworth,1:27.020,,,10
