,Position,Driver,Car,Laps,Time,Points
11,1,Carlos Reutemann,Ferrari,59,1:40:48.800,9
27,2,Alan  Jones,Williams Ford,59,+19.739s,6
20,3,Jody Scheckter,Wolf Ford,59,+45.701s,4
15,4,Jean-Pierre Jabouille,Renault,59,+85.007s,3
14,5,Emerson Fittipaldi,Fittipaldi Ford,59,+88.089s,2
8,6,Patrick Tambay,McLaren Ford,59,+110.210s,1
7,7,James Hunt,McLaren Ford,58,+1 lap,0
22,8,Derek Daly,Ensign Ford,58,+1 lap,0
18,9,Rene Arnoux,Surtees Ford,58,+1 lap,0
3,10,Didier Pironi,Tyrrell Ford,58,+1 lap,0
26,11,Jacques Laffite,Ligier Matra,58,+1 lap,0
21,12,Bobby Rahal,Wolf Ford,58,+1 lap,0
23,13,Brett Lunger,Ensign Ford,58,+1 lap,0
17,14,Clay Regazzoni,Shadow Ford,56,+3 laps,0
55,15,Jean-Pierre Jarier,Lotus Ford,55,DNF,0
36,16,Rolf Stommelen,Arrows Ford,54,+5 laps,0
37,NC,Arturo Merzario,Merzario Ford,46,DNF,0
9,NC,Michael Bleekemolen,ATS Ford,43,DNF,0
1,NC,Niki Lauda,Brabham Alfa Romeo,28,DNF,0
5,NC,Mario Andretti,Lotus Ford,27,DNF,0
2,NC,John Watson,Brabham Alfa Romeo,25,DNF,0
4,NC,Patrick Depailler,Tyrrell Ford,23,DNF,0
12,NC,Gilles Villeneuve,Ferrari,22,DNF,0
32,NC,Keke Rosberg,ATS Ford,21,DNF,0
16,NC,Hans-Joachim Stuck,Shadow Ford,1,DNF,0
25,NC,Hector Rebaque,Lotus Ford,0,DNF,0
