,Position,Driver,Car,Time,Laps
9,1,Kimi Räikkönen,McLaren Mercedes,1:26.797,3
6,2,Giancarlo Fisichella,Renault,1:27.039,3
5,3,Fernando Alonso,Renault,1:27.050,3
10,4,Juan Pablo Montoya,McLaren Mercedes,1:27.352,3
16,5,Jarno Trulli,Toyota,1:27.501,3
8,6,Nick Heidfeld,Williams BMW,1:27.929,3
7,7,Mark Webber,Williams BMW,1:27.944,3
12,8,Felipe Massa,Sauber Petronas,1:28.419,3
17,9,Ralf Schumacher,Toyota,1:28.594,3
15,10,Christian Klien,RBR Cosworth,1:28.963,3
2,11,Rubens Barrichello,Ferrari,1:29.369,3
14,12,David Coulthard,RBR Cosworth,1:29.764,3
3,13,Jenson Button,BAR Honda,1:30.063,3
18,14,Tiago Monteiro,Jordan Toyota,1:30.710,3
21,15,Christijan Albers,Minardi Cosworth,1:32.186,3
1,16,Michael Schumacher,Ferrari,,2
11,17,Jacques Villeneuve,Sauber Petronas,,2
19,18,Narain Karthikeyan,Jordan Toyota,,1
20,19,Robert Doornbos,Minardi Cosworth,,2
