,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Mark Webber,Red Bull Racing Renault,44,1:34.587,221.015
9,2,Nico Rosberg,Mercedes,46,1:34.650,220.868
19,3,Daniel Ricciardo,STR Ferrari,52,1:35.020,220.008
1,4,Sebastian Vettel,Red Bull Racing Renault,39,1:35.317,219.322
7,5,Kimi Räikkönen,Lotus Renault,35,1:35.516,218.865
5,6,Jenson Button,McLaren Mercedes,53,1:35.549,218.790
6,7,Sergio Perez,McLaren Mercedes,46,1:35.845,218.114
3,8,Fernando Alonso,Ferrari,39,1:35.877,218.041
18,9,Jean-Eric Vergne,STR Ferrari,52,1:35.895,218.000
8,10,Romain Grosjean,Lotus Renault,48,1:35.991,217.782
11,11,Nico Hulkenberg,Sauber Ferrari,33,1:36.482,216.674
12,12,Esteban Gutierrez ,Sauber Ferrari,50,1:36.499,216.636
4,13,Felipe Massa,Ferrari,30,1:37.001,215.515
15,14,Adrian Sutil,Force India Mercedes,29,1:37.367,214.705
14,15,Paul di Resta,Force India Mercedes,41,1:37.407,214.617
16,16,Pastor Maldonado,Williams Renault,30,1:37.423,214.581
20,17,Charles Pic,Caterham Renault,51,1:37.489,214.436
17,18,Valtteri Bottas,Williams Renault,43,1:37.856,213.632
23,19,Max Chilton,Marussia Cosworth,45,1:38.713,211.777
10,20,Lewis Hamilton,Mercedes,3,1:41.202,206.569
