,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:31.605,1:30.977,1:30.076,18
7,2,Kimi Räikkönen,Ferrari,1:32.259,1:30.926,1:30.121,14
33,3,Max Verstappen,Red Bull Racing TAG Heuer,1:31.920,1:30.931,1:30.541,12
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:32.416,1:31.061,1:30.595,16
77,5,Valtteri Bottas,Mercedes,1:32.254,1:30.803,1:30.758,17
31,6,Esteban Ocon,Force India Mercedes,1:32.527,1:31.651,1:31.478,17
2,7,Stoffel Vandoorne,McLaren Honda,1:32.838,1:31.848,1:31.582,18
27,8,Nico Hulkenberg,Renault,1:32.586,1:31.778,1:31.607,17
11,9,Sergio Perez,Force India Mercedes,1:32.768,1:31.484,1:31.658,18
14,10,Fernando Alonso,McLaren Honda,1:33.049,1:32.010,1:31.704,17
19,11,Felipe Massa,Williams Mercedes,1:32.267,1:32.034,,12
30,12,Jolyon Palmer,Renault,1:32.576,1:32.100,,14
18,13,Lance Stroll,Williams Mercedes,1:33.000,1:32.307,,14
55,14,Carlos Sainz,Toro Rosso,1:32.650,1:32.402,,14
10,15,Pierre Gasly,Toro Rosso,1:32.547,1:32.558,,14
8,16,Romain Grosjean,Haas Ferrari,1:33.308,,,8
20,17,Kevin Magnussen,Haas Ferrari,1:33.434,,,6
94,18,Pascal Wehrlein,Sauber Ferrari,1:33.483,,,9
9,19,Marcus Ericsson,Sauber Ferrari,1:33.970,,,9
5,NC,Sebastian Vettel,Ferrari,DNF,,,2
