,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,41,1:34.080,212.104,16:10:05
27,2,Nico Hulkenberg,Renault,52,1:34.266,211.686,16:29:44
44,3,Lewis Hamilton,Mercedes,48,1:34.452,211.269,16:20:58
33,4,Max Verstappen,Red Bull Racing TAG Heuer,50,1:34.467,211.235,16:23:59
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,55,1:34.770,210.560,16:32:15
77,6,Valtteri Bottas,Mercedes,44,1:35.284,209.424,16:15:10
11,7,Sergio Perez,Force India Mercedes,32,1:35.591,208.751,15:56:15
8,8,Romain Grosjean,Haas Ferrari,49,1:35.796,208.305,16:24:39
2,9,Stoffel Vandoorne,McLaren Honda,49,1:35.931,208.012,16:24:02
94,10,Pascal Wehrlein,Sauber Ferrari,53,1:36.395,207.010,16:31:24
14,11,Fernando Alonso,McLaren Honda,55,1:36.501,206.783,16:34:18
18,12,Lance Stroll,Williams Mercedes,46,1:36.627,206.513,16:19:13
9,13,Marcus Ericsson,Sauber Ferrari,54,1:36.630,206.507,16:33:33
19,14,Felipe Massa,Williams Mercedes,44,1:36.944,205.838,16:16:03
31,15,Esteban Ocon,Force India Mercedes,36,1:37.075,205.560,16:03:07
10,16,Pierre Gasly,Toro Rosso,45,1:37.170,205.359,16:18:04
30,17,Jolyon Palmer,Renault,45,1:37.186,205.325,16:18:10
20,18,Kevin Magnussen,Haas Ferrari,46,1:37.192,205.313,16:19:40
55,19,Carlos Sainz,Toro Rosso,27,1:38.123,203.365,15:48:11
