,Position,Driver,Car,Lap,Time
4,1,Heinz-Harald Frentzen,Williams Renault,30,1:23.135
8,2,Gerhard Berger,Benetton Renault,31,1:23.361
5,3,Michael Schumacher,Ferrari,42,1:23.692
3,4,Jacques Villeneuve,Williams Renault,42,1:23.906
14,5,Olivier Panis,Prost Mugen Honda,45,1:23.941
7,6,Jean Alesi,Benetton Renault,27,1:23.975
10,7,David Coulthard,McLaren Mercedes,27,1:24.006
9,8,Mika Hakkinen,McLaren Mercedes,28,1:24.072
6,9,Eddie Irvine,Ferrari,37,1:24.266
1,10,Damon Hill,Arrows Yamaha,40,1:24.274
15,11,Shinji Nakano,Prost Mugen Honda,45,1:24.679
17,12,Norberto Fontana,Sauber Petronas,32,1:25.154
16,13,Johnny Herbert,Sauber Petronas,30,1:25.159
19,14,Mika Salo,Tyrrell Ford,37,1:25.237
23,15,Jan Magnussen,Stewart Ford,31,1:25.370
12,16,Giancarlo Fisichella,Jordan Peugeot,45,1:25.434
11,17,Ralf Schumacher,Jordan Peugeot,34,1:25.895
21,18,Tarso Marques,Minardi Hart,55,1:25.947
22,19,Rubens Barrichello,Stewart Ford,13,1:26.169
20,20,Ukyo Katayama,Minardi Hart,27,1:26.215
18,21,Jos Verstappen,Tyrrell Ford,40,1:26.369
2,22,Pedro Diniz,Minardi Hart,3,1:26.434
