,Position,Driver,Car,Time / Gap,Laps
10,1,David Coulthard,McLaren Mercedes,1:20.738,22
9,2,Mika Hakkinen,McLaren Mercedes,+0.118s,20
4,3,Heinz-Harald Frentzen,Williams Renault,+0.525s,26
14,4,Olivier Panis,Prost Mugen Honda,+0.626s,26
8,5,Gerhard Berger,Benetton Renault,+0.787s,21
3,6,Jacques Villeneuve,Williams Renault,+0.855s,23
23,7,Jan Magnussen,Stewart Ford,+0.867s,24
15,8,Shinji Nakano,Prost Mugen Honda,+0.933s,28
1,9,Damon Hill,Arrows Yamaha,+1.042s,30
7,10,Jean Alesi,Benetton Renault,+1.076s,10
11,11,Ralf Schumacher,Jordan Peugeot,+1.143s,28
16,12,Johnny Herbert,Sauber Petronas,+1.327s,28
22,13,Rubens Barrichello,Stewart Ford,+1.379s,21
5,14,Michael Schumacher,Ferrari,+1.382s,29
17,15,Norberto Fontana,Sauber Petronas,+1.666s,30
12,16,Giancarlo Fisichella,Jordan Peugeot,+1.700s,30
20,17,Ukyo Katayama,Minardi Hart,+1.774s,19
2,18,Pedro Diniz,Arrows Yamaha,+2.012s,27
6,19,Eddie Irvine,Ferrari,+2.082s,29
21,20,Tarso Marques,Minardi Hart,+2.631s,28
18,21,Jos Verstappen,Tyrrell Ford,+3.004s,27
19,22,Mika Salo,Tyrrell Ford,+3.691s,27
